YYYYMMDD	Hour	Lat	Long	Course	PL	Distance	Ice_Log	URL_W	URL_E	Note	Ice_1	Ice_2	Orig Lat	Orig Lon	Orig Course	DirM	DirT	Kts	Baro	Dry	Weather	Ships	Other
1907-05-26	23	26.89	-159.35	337.5		9.8		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/77/4048/24404877/content/dc-metro/rg-026/585454/0001-A1/Manning-1907/Manning-1907_0153.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/77/4048/24404877/content/dc-metro/rg-026/585454/0001-A1/Manning-1907/Manning-1907_0153.JPG	2350: WNW					NNW	202	214	24	29.82	76	r		
1907-05-26	24	26.99	-159.49	292.5		9		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/77/4048/24404877/content/dc-metro/rg-026/585454/0001-A1/Manning-1907/Manning-1907_0153.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/77/4048/24404877/content/dc-metro/rg-026/585454/0001-A1/Manning-1907/Manning-1907_0153.JPG	0045: NNW					WNW	315	326	37	29.82	76	r		
1907-05-27	1	27.03	-159.49	337.5		1.9		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/77/4048/24404877/content/dc-metro/rg-026/585454/0001-A1/Manning-1907/Manning-1907_0154.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/77/4048/24404877/content/dc-metro/rg-026/585454/0001-A1/Manning-1907/Manning-1907_0154.JPG	 					NNW	315	326	37	29.82	72	cr		
1907-05-27	2	27.18	-159.52	337.5		8.3		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/77/4048/24404877/content/dc-metro/rg-026/585454/0001-A1/Manning-1907/Manning-1907_0154.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/77/4048/24404877/content/dc-metro/rg-026/585454/0001-A1/Manning-1907/Manning-1907_0154.JPG	 					NNW	315	326	37	29.80	72	cr		
1907-05-27	3	27.33	-159.54	337.5		8.1		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/77/4048/24404877/content/dc-metro/rg-026/585454/0001-A1/Manning-1907/Manning-1907_0154.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/77/4048/24404877/content/dc-metro/rg-026/585454/0001-A1/Manning-1907/Manning-1907_0154.JPG	 					NNW	315	326	30	29.80	72	cr		
1907-05-27	4	27.47	-159.57	337.5		8		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/77/4048/24404877/content/dc-metro/rg-026/585454/0001-A1/Manning-1907/Manning-1907_0154.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/77/4048/24404877/content/dc-metro/rg-026/585454/0001-A1/Manning-1907/Manning-1907_0154.JPG	 					NNW	315	326	30	29.80	72	cr		
1907-05-27	5	27.61	-159.59	337.5		7.9		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/77/4048/24404877/content/dc-metro/rg-026/585454/0001-A1/Manning-1907/Manning-1907_0154.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/77/4048/24404877/content/dc-metro/rg-026/585454/0001-A1/Manning-1907/Manning-1907_0154.JPG	 					NNW	338	348	24	29.84	66	ocr		
1907-05-27	6	27.75	-159.62	337.5		7.4		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/77/4048/24404877/content/dc-metro/rg-026/585454/0001-A1/Manning-1907/Manning-1907_0154.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/77/4048/24404877/content/dc-metro/rg-026/585454/0001-A1/Manning-1907/Manning-1907_0154.JPG	 					NNW	338	348	24	29.87	66	ocp		
1907-05-27	7	27.89	-159.64	337.5		7.7		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/77/4048/24404877/content/dc-metro/rg-026/585454/0001-A1/Manning-1907/Manning-1907_0154.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/77/4048/24404877/content/dc-metro/rg-026/585454/0001-A1/Manning-1907/Manning-1907_0154.JPG	 					NNW	338	348	24	29.89	66	oc		
1907-05-27	8	28.03	-159.67	337.5		8.3		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/77/4048/24404877/content/dc-metro/rg-026/585454/0001-A1/Manning-1907/Manning-1907_0154.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/77/4048/24404877/content/dc-metro/rg-026/585454/0001-A1/Manning-1907/Manning-1907_0154.JPG	 			28 14N	159 40W	NNW	349	360	24	29.90	66	oc		
