YYYYMMDD	Hour	Lat	Long	Course	PL	Distance	Ice_Log	URL_W	URL_E	Note	Ice_1	Ice_2	Orig Lat	Orig Lon	Orig Course	DirM	DirT	Kts	Baro	Dry	Weather	Clouds	Amount	Ships
1905-06-07	3	48.7	-126.43	wsw 1/4 w		11.1		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/17/4041/24404117/content/dc-metro/rg-026/585454/0001-A1/Manning-1905/Manning-1905_0162.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/17/4041/24404117/content/dc-metro/rg-026/585454/0001-A1/Manning-1905/Manning-1905_0162.JPG	 			48.6953	-126.426	wsw 1/4 w	270	294	8	30.08	52	bc	cu	6	
1905-06-07	4	48.73	-126.66	wsw 1/4 w		9.4		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/17/4041/24404117/content/dc-metro/rg-026/585454/0001-A1/Manning-1905/Manning-1905_0162.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/17/4041/24404117/content/dc-metro/rg-026/585454/0001-A1/Manning-1905/Manning-1905_0162.JPG	 			48.734	-126.655	wsw 1/4 w	270	294	13	30.08	52	bc	cu	6	
1905-06-07	5	48.77	-126.88	wsw 1/4 w		9.2		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/17/4041/24404117/content/dc-metro/rg-026/585454/0001-A1/Manning-1905/Manning-1905_0162.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/17/4041/24404117/content/dc-metro/rg-026/585454/0001-A1/Manning-1905/Manning-1905_0162.JPG	 			48.7725	-126.879	wsw 1/4 w	270	294	24	30.08	52	bc	cu	6	
1905-06-07	6	48.81	-127.11	wsw 1/4 w		9.6		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/17/4041/24404117/content/dc-metro/rg-026/585454/0001-A1/Manning-1905/Manning-1905_0162.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/17/4041/24404117/content/dc-metro/rg-026/585454/0001-A1/Manning-1905/Manning-1905_0162.JPG	 			48.8115	-127.113	wsw 1/4 w	292	316	24	30.08	52	bc	cu	5	
1905-06-07	7	48.85	-127.38	wsw 1/4 w		10.7		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/17/4041/24404117/content/dc-metro/rg-026/585454/0001-A1/Manning-1905/Manning-1905_0162.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/17/4041/24404117/content/dc-metro/rg-026/585454/0001-A1/Manning-1905/Manning-1905_0162.JPG	 			48.8519	-127.375	wsw 1/4 w	292	316	24	30.08	52	bc	cu	5	
1905-06-07	8	48.89	-127.62	wsw 1/4 w		10.2		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/17/4041/24404117/content/dc-metro/rg-026/585454/0001-A1/Manning-1905/Manning-1905_0162.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/17/4041/24404117/content/dc-metro/rg-026/585454/0001-A1/Manning-1905/Manning-1905_0162.JPG	 			48 53 30 N	127 37 30 W	wsw 1/4 w	292	316	24	30.08	52	bc	cu	5	
1905-06-07	9	48.89	-128	wsw 1/4 w		15.1		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/17/4041/24404117/content/dc-metro/rg-026/585454/0001-A1/Manning-1905/Manning-1905_0162.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/17/4041/24404117/content/dc-metro/rg-026/585454/0001-A1/Manning-1905/Manning-1905_0162.JPG	 			48.8935	-127.996	wsw 1/4 w	292	316	19	30.12	52	bc	scu	8	
1905-06-07	10	48.89	-128.24	wsw 1/4 w		10.1		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/17/4041/24404117/content/dc-metro/rg-026/585454/0001-A1/Manning-1905/Manning-1905_0162.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/17/4041/24404117/content/dc-metro/rg-026/585454/0001-A1/Manning-1905/Manning-1905_0162.JPG	 			48.8891	-128.24	wsw 1/4 w	292	316	19	30.14	50	bc	scu	8	
1905-06-07	11	48.89	-128.49	wsw 1/4 w		10.4		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/17/4041/24404117/content/dc-metro/rg-026/585454/0001-A1/Manning-1905/Manning-1905_0162.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/17/4041/24404117/content/dc-metro/rg-026/585454/0001-A1/Manning-1905/Manning-1905_0162.JPG	 			48.885	-128.492	wsw 1/4 w	292	316	19	30.16	50	c	scu	10	
1905-06-07	12	48.88	-128.74	wsw 1/4 w		10.3		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/17/4041/24404117/content/dc-metro/rg-026/585454/0001-A1/Manning-1905/Manning-1905_0162.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/17/4041/24404117/content/dc-metro/rg-026/585454/0001-A1/Manning-1905/Manning-1905_0162.JPG	 			48 52 51 N	128 44 30 W	wsw 1/4 w	292	316	19	30.16	50	c	scu	9	
