YYYYMMDD	Hour	Lat	Long	Course	PL	Distance	Ice_Log	URL_W	URL_E	Note	Ice_1	Ice_2	Orig Lat	Orig Lon	Orig Course	DirM	DirT	Kts	Baro	Attd	Dry	Wet	Water	Weather	Clouds	Clear	People	Ships	Other	Other
1882-01-02	2	18.94	-74.47	270		1.2		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/yantic-vol37of67/yantic-vol37of67_0094.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/yantic-vol37of67/yantic-vol37of67_0094.JPG	 					w	293	295	5	30.11	80	77	73	79	bcz	cu	2				
1882-01-02	3	18.94	-74.49	281.25		0.6		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/yantic-vol37of67/yantic-vol37of67_0094.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/yantic-vol37of67/yantic-vol37of67_0094.JPG	 					wxn	135	137	5	30.10	79	76	73	79	bcz	cu	1				
1882-01-02	4	18.94	-74.51	281.25		1.0		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/yantic-vol37of67/yantic-vol37of67_0094.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/yantic-vol37of67/yantic-vol37of67_0094.JPG	 					wxn	158	160	5	30.10	79	75	73	80	bcz	cu	2				
1882-01-02	5	18.94	-74.52			0.0		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/yantic-vol37of67/yantic-vol37of67_0094.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/yantic-vol37of67/yantic-vol37of67_0094.JPG	 						158	160	1	30.10	79	75	73	80	bcz	cu	3				
1882-01-02	6	18.94	-74.52			0.0		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/yantic-vol37of67/yantic-vol37of67_0094.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/yantic-vol37of67/yantic-vol37of67_0094.JPG	 						158	160	1	30.13	79	75	73	80	bcz	cu	3				
1882-01-02	7	18.93	-74.53			0.0		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/yantic-vol37of67/yantic-vol37of67_0094.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/yantic-vol37of67/yantic-vol37of67_0094.JPG	 						45	47	1	30.15	80	77	73	81	bcz	ci cu	5				
1882-01-02	8	18.92	-74.54	225		1.0		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/yantic-vol37of67/yantic-vol37of67_0094.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/yantic-vol37of67/yantic-vol37of67_0094.JPG	 					sw	45	47	1	30.15	80	77	73	81	bcz	ci cu	5				
1882-01-02	9	18.90	-74.56	225		1.0		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/yantic-vol37of67/yantic-vol37of67_0094.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/yantic-vol37of67/yantic-vol37of67_0094.JPG	 					sw	90	92	1	30.18	80	77	74	81	bcz	ci cu	5				
1882-01-02	10	18.90	-74.57			0.0		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/yantic-vol37of67/yantic-vol37of67_0094.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/yantic-vol37of67/yantic-vol37of67_0094.JPG	 						0	0	0	30.18	82	79	75	81	bc	ci cu	5				
1882-01-02	11	18.90	-74.57			0.0		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/yantic-vol37of67/yantic-vol37of67_0094.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/yantic-vol37of67/yantic-vol37of67_0094.JPG	 						0	0	0	30.18	82	79	75	81	bc	ci cu	5				
1882-01-02	12	18.87	-74.58	180		1.0		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/yantic-vol37of67/yantic-vol37of67_0094.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/yantic-vol37of67/yantic-vol37of67_0094.JPG	 			18 52 27 N	74 34 30 W	s	113	115	2	30.16	81	78	74	81	bc	ci cu	5				
1882-01-02	13	18.88	-74.57			0.0		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/yantic-vol37of67/yantic-vol37of67_0094.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/yantic-vol37of67/yantic-vol37of67_0094.JPG	1320: S						113	115	2	30.14	86	82	75	82	bc	ci cu	5				
1882-01-02	14	18.81	-74.57	180		4.0		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/yantic-vol37of67/yantic-vol37of67_0094.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/yantic-vol37of67/yantic-vol37of67_0094.JPG	 					s	203	205	1	30.13	86	82	75	82	bc	ci cu	5				
1882-01-02	15	18.71	-74.58	180		6.2		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/yantic-vol37of67/yantic-vol37of67_0094.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/yantic-vol37of67/yantic-vol37of67_0094.JPG	 					s	270	272	1	30.13	85	81	75	82	bc	ci cu	5				
1882-01-02	16	18.61	-74.58	180		6.4		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/yantic-vol37of67/yantic-vol37of67_0094.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/yantic-vol37of67/yantic-vol37of67_0094.JPG	 					s	270	272	5	30.13	84	80	74	82	bc	ci cu	5				
1882-01-02	17	18.50	-74.58	180		6.2		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/yantic-vol37of67/yantic-vol37of67_0094.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/yantic-vol37of67/yantic-vol37of67_0094.JPG	 					s	270	272	5	30.15	83	80	76	82	bc	ci cu	5				
1882-01-02	18	18.40	-74.58	180		6.2		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/yantic-vol37of67/yantic-vol37of67_0094.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/yantic-vol37of67/yantic-vol37of67_0094.JPG	 					s	270	272	1	30.15	83	77	76	82	bc	ci cu	6				
