YYYYMMDD	Hour	Lat	Long	Course	PL	Distance	Ice_Log	URL_W	URL_E	Note	Ice_1	Ice_2	Orig Lat	Orig Lon	Orig Course	DirM	DirT	Kts	Baro	Dry	Water	Weather	Ships	Orig Baro
1867-01-02	11	43.30	5.36			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-ticonderoga-009/581208-ticonderoga-009-004.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-ticonderoga-009/581208-ticonderoga-009-004.JPG	 						315	299	2				b		
1867-01-02	12	43.30	5.36			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-ticonderoga-009/581208-ticonderoga-009-004.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-ticonderoga-009/581208-ticonderoga-009-004.JPG	"Noon: Marseilles, France."						315	299	2	30.38	42		b		30.38
1867-01-02	13	43.30	5.36			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-ticonderoga-009/581208-ticonderoga-009-004.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-ticonderoga-009/581208-ticonderoga-009-004.JPG	 						315	299	2	30.36	46		bc		30.36
1867-01-02	14	43.30	5.36			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-ticonderoga-009/581208-ticonderoga-009-004.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-ticonderoga-009/581208-ticonderoga-009-004.JPG	 						315	299	2	30.36	46		bc		30.36
1867-01-02	15	43.30	5.36			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-ticonderoga-009/581208-ticonderoga-009-004.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-ticonderoga-009/581208-ticonderoga-009-004.JPG	 						315	299	2	30.36	46		bc		30.36
1867-01-02	16	43.30	5.36			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-ticonderoga-009/581208-ticonderoga-009-004.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-ticonderoga-009/581208-ticonderoga-009-004.JPG	 						315	299	2	30.36	46		bc		30.36
1867-01-02	17	43.30	5.36			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-ticonderoga-009/581208-ticonderoga-009-004.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-ticonderoga-009/581208-ticonderoga-009-004.JPG	 						315	299							
1867-01-02	18	43.30	5.36			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-ticonderoga-009/581208-ticonderoga-009-004.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-ticonderoga-009/581208-ticonderoga-009-004.JPG	 						360	344	2	30.35	45		bc		30.35
1867-01-02	19	43.30	5.36			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-ticonderoga-009/581208-ticonderoga-009-004.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-ticonderoga-009/581208-ticonderoga-009-004.JPG	 														
1867-01-02	20	43.30	5.36			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-ticonderoga-009/581208-ticonderoga-009-004.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-ticonderoga-009/581208-ticonderoga-009-004.JPG	 						0	0	0	30.34	43		bc		30.34
