YYYYMMDD	Hour	Lat	Long	Course	PL	Distance	Ice_Log	URL_W	URL_E	Note	Ice_1	Ice_2	Orig Lat	Orig Long	Orig Course	DirM	DirT	Kts	Baro	Dry	Water	Weather	People	Ships	Other	Baro cm HG
1863-01-02	15	36.49	-6.18			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/Uss_Kearsarge_01241862-02071863/Uss_Kearsarge_01241862-02071863_image_0349.jpg	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/Uss_Kearsarge_01241862-02071863/Uss_Kearsarge_01241862-02071863_image_0349.jpg	 																
1863-01-02	16	36.49	-6.18			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/Uss_Kearsarge_01241862-02071863/Uss_Kearsarge_01241862-02071863_image_0349.jpg	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/Uss_Kearsarge_01241862-02071863/Uss_Kearsarge_01241862-02071863_image_0349.jpg	 																
1863-01-02	17	36.49	-6.18			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/Uss_Kearsarge_01241862-02071863/Uss_Kearsarge_01241862-02071863_image_0349.jpg	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/Uss_Kearsarge_01241862-02071863/Uss_Kearsarge_01241862-02071863_image_0349.jpg	 						0	0	0				b				
1863-01-02	18	36.49	-6.18			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/Uss_Kearsarge_01241862-02071863/Uss_Kearsarge_01241862-02071863_image_0349.jpg	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/Uss_Kearsarge_01241862-02071863/Uss_Kearsarge_01241862-02071863_image_0349.jpg	 																
1863-01-02	19	36.49	-6.18			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/Uss_Kearsarge_01241862-02071863/Uss_Kearsarge_01241862-02071863_image_0349.jpg	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/Uss_Kearsarge_01241862-02071863/Uss_Kearsarge_01241862-02071863_image_0349.jpg	 																
1863-01-02	20	36.49	-6.18			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/Uss_Kearsarge_01241862-02071863/Uss_Kearsarge_01241862-02071863_image_0349.jpg	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/Uss_Kearsarge_01241862-02071863/Uss_Kearsarge_01241862-02071863_image_0349.jpg	 						360	341									
1863-01-02	21	36.49	-6.18			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/Uss_Kearsarge_01241862-02071863/Uss_Kearsarge_01241862-02071863_image_0349.jpg	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/Uss_Kearsarge_01241862-02071863/Uss_Kearsarge_01241862-02071863_image_0349.jpg	 								2				b				
1863-01-02	22	36.49	-6.18			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/Uss_Kearsarge_01241862-02071863/Uss_Kearsarge_01241862-02071863_image_0349.jpg	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/Uss_Kearsarge_01241862-02071863/Uss_Kearsarge_01241862-02071863_image_0349.jpg	 																
1863-01-02	23	36.49	-6.18			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/Uss_Kearsarge_01241862-02071863/Uss_Kearsarge_01241862-02071863_image_0349.jpg	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/Uss_Kearsarge_01241862-02071863/Uss_Kearsarge_01241862-02071863_image_0349.jpg	 																
1863-01-02	24	36.49	-6.18			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/Uss_Kearsarge_01241862-02071863/Uss_Kearsarge_01241862-02071863_image_0349.jpg	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/Uss_Kearsarge_01241862-02071863/Uss_Kearsarge_01241862-02071863_image_0349.jpg	 																
