YYYYMMDD	Hour	Lat	Long	Course	PL	Distance	Ice_Log	URL_W	URL_E	Note	Ice_1	Ice_2	Orig Lat	Orig Lon	Orig Course	DirM	DirT	Kts	Baro	Dry	Wet	Water	Weather	Clouds	Amount	People
1915-01-01	13	38.09	-122.26			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/94/6960/23696094/content/dc-metro/rg-026/585454/0002/Bear-b357/Bear-b357-0003.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/94/6960/23696094/content/dc-metro/rg-026/585454/0002/Bear-b357/Bear-b357-0003.JPG	 			38.09	-122.27												
1915-01-01	14	38.09	-122.26			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/94/6960/23696094/content/dc-metro/rg-026/585454/0002/Bear-b357/Bear-b357-0003.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/94/6960/23696094/content/dc-metro/rg-026/585454/0002/Bear-b357/Bear-b357-0003.JPG	 			38.09	-122.27		90	108	5	30.26	51	50	48	oc	s	10	
1915-01-01	15	38.09	-122.26			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/94/6960/23696094/content/dc-metro/rg-026/585454/0002/Bear-b357/Bear-b357-0003.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/94/6960/23696094/content/dc-metro/rg-026/585454/0002/Bear-b357/Bear-b357-0003.JPG	 			38.09	-122.27												
1915-01-01	16	38.09	-122.26			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/94/6960/23696094/content/dc-metro/rg-026/585454/0002/Bear-b357/Bear-b357-0003.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/94/6960/23696094/content/dc-metro/rg-026/585454/0002/Bear-b357/Bear-b357-0003.JPG	 			38.09	-122.27		90	108	5	30.26	51	50	48	bc	cu	6	
1915-01-01	17	38.09	-122.26			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/94/6960/23696094/content/dc-metro/rg-026/585454/0002/Bear-b357/Bear-b357-0003.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/94/6960/23696094/content/dc-metro/rg-026/585454/0002/Bear-b357/Bear-b357-0003.JPG	 			38.09	-122.27												
1915-01-01	18	38.09	-122.26			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/94/6960/23696094/content/dc-metro/rg-026/585454/0002/Bear-b357/Bear-b357-0003.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/94/6960/23696094/content/dc-metro/rg-026/585454/0002/Bear-b357/Bear-b357-0003.JPG	 			38.09	-122.27		90	108	8	30.27	50	49	48	bc	s-cu	9	
1915-01-01	19	38.09	-122.26			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/94/6960/23696094/content/dc-metro/rg-026/585454/0002/Bear-b357/Bear-b357-0003.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/94/6960/23696094/content/dc-metro/rg-026/585454/0002/Bear-b357/Bear-b357-0003.JPG	 			38.09	-122.27												
1915-01-01	20	38.09	-122.26			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/94/6960/23696094/content/dc-metro/rg-026/585454/0002/Bear-b357/Bear-b357-0003.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/94/6960/23696094/content/dc-metro/rg-026/585454/0002/Bear-b357/Bear-b357-0003.JPG	 			38.09	-122.27		90	108	8	30.28	48	49	48	bc	ci-s	2	
1915-01-01	21	38.09	-122.26			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/94/6960/23696094/content/dc-metro/rg-026/585454/0002/Bear-b357/Bear-b357-0003.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/94/6960/23696094/content/dc-metro/rg-026/585454/0002/Bear-b357/Bear-b357-0003.JPG	 			38.09	-122.27												
1915-01-01	22	38.09	-122.26			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/94/6960/23696094/content/dc-metro/rg-026/585454/0002/Bear-b357/Bear-b357-0003.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/94/6960/23696094/content/dc-metro/rg-026/585454/0002/Bear-b357/Bear-b357-0003.JPG	 			38.09	-122.27		90	108	5	30.32	47	46	48	bc	ci-s	3	
1915-01-01	23	38.09	-122.26			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/94/6960/23696094/content/dc-metro/rg-026/585454/0002/Bear-b357/Bear-b357-0003.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/94/6960/23696094/content/dc-metro/rg-026/585454/0002/Bear-b357/Bear-b357-0003.JPG	 			38.09	-122.27												
1915-01-01	24	38.09	-122.26			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/94/6960/23696094/content/dc-metro/rg-026/585454/0002/Bear-b357/Bear-b357-0003.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/94/6960/23696094/content/dc-metro/rg-026/585454/0002/Bear-b357/Bear-b357-0003.JPG	 			38.09	-122.27		90	108	2	30.33	47	46	48	bc	ci-s	3	
1915-01-02	1	38.09	-122.26			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/94/6960/23696094/content/dc-metro/rg-026/585454/0002/Bear-b357/Bear-b357-0004.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/94/6960/23696094/content/dc-metro/rg-026/585454/0002/Bear-b357/Bear-b357-0004.JPG	 			38.09	-122.27												
1915-01-02	2	38.09	-122.26			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/94/6960/23696094/content/dc-metro/rg-026/585454/0002/Bear-b357/Bear-b357-0004.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/94/6960/23696094/content/dc-metro/rg-026/585454/0002/Bear-b357/Bear-b357-0004.JPG	 			38.09	-122.27		90	108	2	30.33	46	45	48	bc	s	2	
1915-01-02	3	38.09	-122.26			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/94/6960/23696094/content/dc-metro/rg-026/585454/0002/Bear-b357/Bear-b357-0004.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/94/6960/23696094/content/dc-metro/rg-026/585454/0002/Bear-b357/Bear-b357-0004.JPG	 			38.09	-122.27												
1915-01-02	4	38.09	-122.26			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/94/6960/23696094/content/dc-metro/rg-026/585454/0002/Bear-b357/Bear-b357-0004.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/94/6960/23696094/content/dc-metro/rg-026/585454/0002/Bear-b357/Bear-b357-0004.JPG	 			38.09	-122.27		90	108	2	30.33	46	45	48	bc	s	2	
1915-01-02	5	38.09	-122.26			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/94/6960/23696094/content/dc-metro/rg-026/585454/0002/Bear-b357/Bear-b357-0004.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/94/6960/23696094/content/dc-metro/rg-026/585454/0002/Bear-b357/Bear-b357-0004.JPG	 			38.09	-122.27												
1915-01-02	6	38.09	-122.26			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/94/6960/23696094/content/dc-metro/rg-026/585454/0002/Bear-b357/Bear-b357-0004.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/94/6960/23696094/content/dc-metro/rg-026/585454/0002/Bear-b357/Bear-b357-0004.JPG	 			38.09	-122.27		90	108	2	30.33	46	45	48	bcf	s	3	
1915-01-02	7	38.09	-122.26			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/94/6960/23696094/content/dc-metro/rg-026/585454/0002/Bear-b357/Bear-b357-0004.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/94/6960/23696094/content/dc-metro/rg-026/585454/0002/Bear-b357/Bear-b357-0004.JPG	 			38.09	-122.27												
1915-01-02	8	38.09	-122.26			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/94/6960/23696094/content/dc-metro/rg-026/585454/0002/Bear-b357/Bear-b357-0004.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/94/6960/23696094/content/dc-metro/rg-026/585454/0002/Bear-b357/Bear-b357-0004.JPG	 			38.09	-122.27		90	108	2	30.33	47	46	48	bcf	s	4	
1915-01-02	9	38.09	-122.26			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/94/6960/23696094/content/dc-metro/rg-026/585454/0002/Bear-b357/Bear-b357-0004.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/94/6960/23696094/content/dc-metro/rg-026/585454/0002/Bear-b357/Bear-b357-0004.JPG	 			38.09	-122.27												
1915-01-02	10	38.09	-122.26			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/94/6960/23696094/content/dc-metro/rg-026/585454/0002/Bear-b357/Bear-b357-0004.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/94/6960/23696094/content/dc-metro/rg-026/585454/0002/Bear-b357/Bear-b357-0004.JPG	 			38.09	-122.27		90	108	5	30.36	46	46	42	bc	s	2	
1915-01-02	11	38.09	-122.26			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/94/6960/23696094/content/dc-metro/rg-026/585454/0002/Bear-b357/Bear-b357-0004.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/94/6960/23696094/content/dc-metro/rg-026/585454/0002/Bear-b357/Bear-b357-0004.JPG	 			38.09	-122.27												
1915-01-02	12	38.09	-122.26			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/94/6960/23696094/content/dc-metro/rg-026/585454/0002/Bear-b357/Bear-b357-0004.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/94/6960/23696094/content/dc-metro/rg-026/585454/0002/Bear-b357/Bear-b357-0004.JPG	Noon: Mare Island			38.09	-122.27		90	108	8	30.29	47	46	48	of	s	10	
1915-01-02	13	38.09	-122.26			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/94/6960/23696094/content/dc-metro/rg-026/585454/0002/Bear-b357/Bear-b357-0004.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/94/6960/23696094/content/dc-metro/rg-026/585454/0002/Bear-b357/Bear-b357-0004.JPG	 			38.09	-122.27		90	108	8	30.24	50	49	48	bc	s-ci	2	
1915-01-02	14	38.09	-122.26			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/94/6960/23696094/content/dc-metro/rg-026/585454/0002/Bear-b357/Bear-b357-0004.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/94/6960/23696094/content/dc-metro/rg-026/585454/0002/Bear-b357/Bear-b357-0004.JPG	 			38.09	-122.27												
1915-01-02	15	38.09	-122.26			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/94/6960/23696094/content/dc-metro/rg-026/585454/0002/Bear-b357/Bear-b357-0004.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/94/6960/23696094/content/dc-metro/rg-026/585454/0002/Bear-b357/Bear-b357-0004.JPG	 			38.09	-122.27		90	108	8	30.22	51	50	48	b	s-ci	-	
1915-01-02	16	38.09	-122.26			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/94/6960/23696094/content/dc-metro/rg-026/585454/0002/Bear-b357/Bear-b357-0004.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/94/6960/23696094/content/dc-metro/rg-026/585454/0002/Bear-b357/Bear-b357-0004.JPG	 			38.09	-122.27												
1915-01-02	17	38.09	-122.26			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/94/6960/23696094/content/dc-metro/rg-026/585454/0002/Bear-b357/Bear-b357-0004.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/94/6960/23696094/content/dc-metro/rg-026/585454/0002/Bear-b357/Bear-b357-0004.JPG	 			38.09	-122.27		90	108	8	30.22	48	47	48	bc	cu	2	
1915-01-02	18	38.09	-122.26			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/94/6960/23696094/content/dc-metro/rg-026/585454/0002/Bear-b357/Bear-b357-0004.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/94/6960/23696094/content/dc-metro/rg-026/585454/0002/Bear-b357/Bear-b357-0004.JPG	 			38.09	-122.27												
1915-01-02	19	38.09	-122.26			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/94/6960/23696094/content/dc-metro/rg-026/585454/0002/Bear-b357/Bear-b357-0004.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/94/6960/23696094/content/dc-metro/rg-026/585454/0002/Bear-b357/Bear-b357-0004.JPG	 			38.09	-122.27		90	108	5	30.22	48	47	48	bc	s-cu	6	
1915-01-02	20	38.09	-122.26			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/94/6960/23696094/content/dc-metro/rg-026/585454/0002/Bear-b357/Bear-b357-0004.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/94/6960/23696094/content/dc-metro/rg-026/585454/0002/Bear-b357/Bear-b357-0004.JPG	 			38.09	-122.27												
1915-01-02	21	38.09	-122.26			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/94/6960/23696094/content/dc-metro/rg-026/585454/0002/Bear-b357/Bear-b357-0004.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/94/6960/23696094/content/dc-metro/rg-026/585454/0002/Bear-b357/Bear-b357-0004.JPG	 			38.09	-122.27		90	108	5	30.22	47	46	48	oc	s	10	
1915-01-02	22	38.09	-122.26			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/94/6960/23696094/content/dc-metro/rg-026/585454/0002/Bear-b357/Bear-b357-0004.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/94/6960/23696094/content/dc-metro/rg-026/585454/0002/Bear-b357/Bear-b357-0004.JPG	 			38.09	-122.27												
1915-01-02	23	38.09	-122.26			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/94/6960/23696094/content/dc-metro/rg-026/585454/0002/Bear-b357/Bear-b357-0004.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/94/6960/23696094/content/dc-metro/rg-026/585454/0002/Bear-b357/Bear-b357-0004.JPG	 			38.09	-122.27		90	108	5	30.20	45	45	48	oc	s	10	
1915-01-02	24	38.09	-122.26			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/94/6960/23696094/content/dc-metro/rg-026/585454/0002/Bear-b357/Bear-b357-0004.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/94/6960/23696094/content/dc-metro/rg-026/585454/0002/Bear-b357/Bear-b357-0004.JPG	 			38.09	-122.27												
1915-01-03	1	38.09	-122.26			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/94/6960/23696094/content/dc-metro/rg-026/585454/0002/Bear-b357/Bear-b357-0005.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/94/6960/23696094/content/dc-metro/rg-026/585454/0002/Bear-b357/Bear-b357-0005.JPG	 			38.09	-122.27												
1915-01-03	2	38.09	-122.26			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/94/6960/23696094/content/dc-metro/rg-026/585454/0002/Bear-b357/Bear-b357-0005.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/94/6960/23696094/content/dc-metro/rg-026/585454/0002/Bear-b357/Bear-b357-0005.JPG	 			38.09	-122.27		68	86	8	30.20	45	44	48	oc	s	10	
1915-01-03	3	38.09	-122.26			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/94/6960/23696094/content/dc-metro/rg-026/585454/0002/Bear-b357/Bear-b357-0005.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/94/6960/23696094/content/dc-metro/rg-026/585454/0002/Bear-b357/Bear-b357-0005.JPG	 			38.09	-122.27												
1915-01-03	4	38.09	-122.26			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/94/6960/23696094/content/dc-metro/rg-026/585454/0002/Bear-b357/Bear-b357-0005.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/94/6960/23696094/content/dc-metro/rg-026/585454/0002/Bear-b357/Bear-b357-0005.JPG	 			38.09	-122.27		68	86	8	30.22	46	45	48	oc	s	10	
1915-01-03	5	38.09	-122.26			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/94/6960/23696094/content/dc-metro/rg-026/585454/0002/Bear-b357/Bear-b357-0005.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/94/6960/23696094/content/dc-metro/rg-026/585454/0002/Bear-b357/Bear-b357-0005.JPG	 			38.09	-122.27												
1915-01-03	6	38.09	-122.26			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/94/6960/23696094/content/dc-metro/rg-026/585454/0002/Bear-b357/Bear-b357-0005.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/94/6960/23696094/content/dc-metro/rg-026/585454/0002/Bear-b357/Bear-b357-0005.JPG	 			38.09	-122.27		68	86	5	30.22	46	45	48	oc	s	10	
1915-01-03	7	38.09	-122.26			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/94/6960/23696094/content/dc-metro/rg-026/585454/0002/Bear-b357/Bear-b357-0005.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/94/6960/23696094/content/dc-metro/rg-026/585454/0002/Bear-b357/Bear-b357-0005.JPG	 			38.09	-122.27												
1915-01-03	8	38.09	-122.26			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/94/6960/23696094/content/dc-metro/rg-026/585454/0002/Bear-b357/Bear-b357-0005.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/94/6960/23696094/content/dc-metro/rg-026/585454/0002/Bear-b357/Bear-b357-0005.JPG	 			38.09	-122.27		68	86	5	30.24	46	46	48	ocf	fog	10	
1915-01-03	9	38.09	-122.26			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/94/6960/23696094/content/dc-metro/rg-026/585454/0002/Bear-b357/Bear-b357-0005.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/94/6960/23696094/content/dc-metro/rg-026/585454/0002/Bear-b357/Bear-b357-0005.JPG	 			38.09	-122.27												
1915-01-03	10	38.09	-122.26			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/94/6960/23696094/content/dc-metro/rg-026/585454/0002/Bear-b357/Bear-b357-0005.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/94/6960/23696094/content/dc-metro/rg-026/585454/0002/Bear-b357/Bear-b357-0005.JPG	 			38.09	-122.27		68	86	2	30.29	46	46	48	ocf	fog	10	
1915-01-03	11	38.09	-122.26			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/94/6960/23696094/content/dc-metro/rg-026/585454/0002/Bear-b357/Bear-b357-0005.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/94/6960/23696094/content/dc-metro/rg-026/585454/0002/Bear-b357/Bear-b357-0005.JPG	 			38.09	-122.27												
1915-01-03	12	38.09	-122.26			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/94/6960/23696094/content/dc-metro/rg-026/585454/0002/Bear-b357/Bear-b357-0005.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/94/6960/23696094/content/dc-metro/rg-026/585454/0002/Bear-b357/Bear-b357-0005.JPG	Noon: Mare Is. Cal.			38.09	-122.27		68	86	2	30.29	49	48	48	ocf	fog	10	
1915-01-03	13	38.09	-122.26			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/94/6960/23696094/content/dc-metro/rg-026/585454/0002/Bear-b357/Bear-b357-0005.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/94/6960/23696094/content/dc-metro/rg-026/585454/0002/Bear-b357/Bear-b357-0005.JPG	 			38.09	-122.27												
1915-01-03	14	38.09	-122.26			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/94/6960/23696094/content/dc-metro/rg-026/585454/0002/Bear-b357/Bear-b357-0005.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/94/6960/23696094/content/dc-metro/rg-026/585454/0002/Bear-b357/Bear-b357-0005.JPG	 			38.09	-122.27		90	108	5	30.26	51	50	48	oc	s	10	
1915-01-03	15	38.09	-122.26			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/94/6960/23696094/content/dc-metro/rg-026/585454/0002/Bear-b357/Bear-b357-0005.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/94/6960/23696094/content/dc-metro/rg-026/585454/0002/Bear-b357/Bear-b357-0005.JPG	 			38.09	-122.27												
1915-01-03	16	38.09	-122.26			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/94/6960/23696094/content/dc-metro/rg-026/585454/0002/Bear-b357/Bear-b357-0005.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/94/6960/23696094/content/dc-metro/rg-026/585454/0002/Bear-b357/Bear-b357-0005.JPG	 			38.09	-122.27		90	108	5	30.26	51	50	48	bc	cu	6	
1915-01-03	17	38.09	-122.26			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/94/6960/23696094/content/dc-metro/rg-026/585454/0002/Bear-b357/Bear-b357-0005.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/94/6960/23696094/content/dc-metro/rg-026/585454/0002/Bear-b357/Bear-b357-0005.JPG	 			38.09	-122.27												
1915-01-03	18	38.09	-122.26			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/94/6960/23696094/content/dc-metro/rg-026/585454/0002/Bear-b357/Bear-b357-0005.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/94/6960/23696094/content/dc-metro/rg-026/585454/0002/Bear-b357/Bear-b357-0005.JPG	 			38.09	-122.27		90	108	8	30.27	50	49	48	bc	s-cu	9	
1915-01-03	19	38.09	-122.26			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/94/6960/23696094/content/dc-metro/rg-026/585454/0002/Bear-b357/Bear-b357-0005.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/94/6960/23696094/content/dc-metro/rg-026/585454/0002/Bear-b357/Bear-b357-0005.JPG	 			38.09	-122.27												
1915-01-03	20	38.09	-122.26			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/94/6960/23696094/content/dc-metro/rg-026/585454/0002/Bear-b357/Bear-b357-0005.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/94/6960/23696094/content/dc-metro/rg-026/585454/0002/Bear-b357/Bear-b357-0005.JPG	 			38.09	-122.27		90	108	8	30.28	48	49	48	bc	ci-s	2	
