YYYYMMDD	Hour	Lat	Long	Course	PL	Distance	Ice_Log	URL_W	URL_E	Note	Ice_1	Ice_2	Orig Lat	Orig Lon	Orig Course	DirT	Kts	Baro	Dry	Wet	TSI	Weather	Low	Mid	High	Ceil	From	Amount	VisM	People	Ships	Other
1954-01-01	21	33.75	-118.24			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/28/1033/12103328/content/arcmedia/dc-metro/594258-navy-deck-logs/00003/burton-island-agb-1-1954-01/burton-island-agb-1-1954-01-0005.jpg	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/28/1033/12103328/content/arcmedia/dc-metro/594258-navy-deck-logs/00003/burton-island-agb-1-1954-01/burton-island-agb-1-1954-01-0006.jpg	 						280	3	30.1	55	55		3	ST			15	280	9	1			
1954-01-01	22	33.75	-118.24			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/28/1033/12103328/content/arcmedia/dc-metro/594258-navy-deck-logs/00003/burton-island-agb-1-1954-01/burton-island-agb-1-1954-01-0005.jpg	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/28/1033/12103328/content/arcmedia/dc-metro/594258-navy-deck-logs/00003/burton-island-agb-1-1954-01/burton-island-agb-1-1954-01-0006.jpg	 						40	3	30.1	52	50		3	ST			15	40	9	1			
1954-01-01	23	33.75	-118.24			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/28/1033/12103328/content/arcmedia/dc-metro/594258-navy-deck-logs/00003/burton-island-agb-1-1954-01/burton-island-agb-1-1954-01-0005.jpg	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/28/1033/12103328/content/arcmedia/dc-metro/594258-navy-deck-logs/00003/burton-island-agb-1-1954-01/burton-island-agb-1-1954-01-0006.jpg	 						40	3	30.1	52	50		3	ST			15	40	9	1			
1954-01-01	24	33.75	-118.24			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/28/1033/12103328/content/arcmedia/dc-metro/594258-navy-deck-logs/00003/burton-island-agb-1-1954-01/burton-island-agb-1-1954-01-0005.jpg	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/28/1033/12103328/content/arcmedia/dc-metro/594258-navy-deck-logs/00003/burton-island-agb-1-1954-01/burton-island-agb-1-1954-01-0006.jpg	 						40	3	30.1	52	52		3	ST			15	40	9	1			
1954-01-02	1	33.75	-118.24			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/28/1033/12103328/content/arcmedia/dc-metro/594258-navy-deck-logs/00003/burton-island-agb-1-1954-01/burton-island-agb-1-1954-01-0007.jpg	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/28/1033/12103328/content/arcmedia/dc-metro/594258-navy-deck-logs/00003/burton-island-agb-1-1954-01/burton-island-agb-1-1954-01-0008.jpg	": Long Beach, California."						40	2	30.1	52	52		3	ST			15	40	9	1			
1954-01-02	2	33.75	-118.24			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/28/1033/12103328/content/arcmedia/dc-metro/594258-navy-deck-logs/00003/burton-island-agb-1-1954-01/burton-island-agb-1-1954-01-0007.jpg	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/28/1033/12103328/content/arcmedia/dc-metro/594258-navy-deck-logs/00003/burton-island-agb-1-1954-01/burton-island-agb-1-1954-01-0008.jpg	 						40	2	30.1	52	52		3	ST			15	40	9	1			
1954-01-02	3	33.75	-118.24			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/28/1033/12103328/content/arcmedia/dc-metro/594258-navy-deck-logs/00003/burton-island-agb-1-1954-01/burton-island-agb-1-1954-01-0007.jpg	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/28/1033/12103328/content/arcmedia/dc-metro/594258-navy-deck-logs/00003/burton-island-agb-1-1954-01/burton-island-agb-1-1954-01-0008.jpg	 						40	2	30.11	51	51		3	ST			15	40	9	1			
1954-01-02	4	33.75	-118.24			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/28/1033/12103328/content/arcmedia/dc-metro/594258-navy-deck-logs/00003/burton-island-agb-1-1954-01/burton-island-agb-1-1954-01-0007.jpg	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/28/1033/12103328/content/arcmedia/dc-metro/594258-navy-deck-logs/00003/burton-island-agb-1-1954-01/burton-island-agb-1-1954-01-0008.jpg	 						40	2	30.11	50	50		3	ST			15	40	9	2			
1954-01-02	5	33.75	-118.24			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/28/1033/12103328/content/arcmedia/dc-metro/594258-navy-deck-logs/00003/burton-island-agb-1-1954-01/burton-island-agb-1-1954-01-0007.jpg	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/28/1033/12103328/content/arcmedia/dc-metro/594258-navy-deck-logs/00003/burton-island-agb-1-1954-01/burton-island-agb-1-1954-01-0008.jpg	 						40	2	30.1	50	50		3	ST			15	40	9	2			
1954-01-02	6	33.75	-118.24			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/28/1033/12103328/content/arcmedia/dc-metro/594258-navy-deck-logs/00003/burton-island-agb-1-1954-01/burton-island-agb-1-1954-01-0007.jpg	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/28/1033/12103328/content/arcmedia/dc-metro/594258-navy-deck-logs/00003/burton-island-agb-1-1954-01/burton-island-agb-1-1954-01-0008.jpg	 						40	2	30.1	50	50		3	ST			15	40	9	2			
1954-01-02	7	33.75	-118.24			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/28/1033/12103328/content/arcmedia/dc-metro/594258-navy-deck-logs/00003/burton-island-agb-1-1954-01/burton-island-agb-1-1954-01-0007.jpg	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/28/1033/12103328/content/arcmedia/dc-metro/594258-navy-deck-logs/00003/burton-island-agb-1-1954-01/burton-island-agb-1-1954-01-0008.jpg	 						40	2	30.1	50	50		3	ST			15	40	9	2			
1954-01-02	8	33.75	-118.24			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/28/1033/12103328/content/arcmedia/dc-metro/594258-navy-deck-logs/00003/burton-island-agb-1-1954-01/burton-island-agb-1-1954-01-0007.jpg	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/28/1033/12103328/content/arcmedia/dc-metro/594258-navy-deck-logs/00003/burton-island-agb-1-1954-01/burton-island-agb-1-1954-01-0008.jpg	 						230	2	30.14	50	45		3	ST			15	230	9	2			
1954-01-02	9	33.75	-118.24			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/28/1033/12103328/content/arcmedia/dc-metro/594258-navy-deck-logs/00003/burton-island-agb-1-1954-01/burton-island-agb-1-1954-01-0007.jpg	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/28/1033/12103328/content/arcmedia/dc-metro/594258-navy-deck-logs/00003/burton-island-agb-1-1954-01/burton-island-agb-1-1954-01-0008.jpg	 						230	2	30.14	50	45		3	ST			15	230	9	2			
1954-01-02	10	33.75	-118.24			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/28/1033/12103328/content/arcmedia/dc-metro/594258-navy-deck-logs/00003/burton-island-agb-1-1954-01/burton-island-agb-1-1954-01-0007.jpg	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/28/1033/12103328/content/arcmedia/dc-metro/594258-navy-deck-logs/00003/burton-island-agb-1-1954-01/burton-island-agb-1-1954-01-0008.jpg	 						230	2	30.18	58	55		3	ST			15	220	9	2			
1954-01-02	11	33.75	-118.24			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/28/1033/12103328/content/arcmedia/dc-metro/594258-navy-deck-logs/00003/burton-island-agb-1-1954-01/burton-island-agb-1-1954-01-0007.jpg	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/28/1033/12103328/content/arcmedia/dc-metro/594258-navy-deck-logs/00003/burton-island-agb-1-1954-01/burton-island-agb-1-1954-01-0008.jpg	 						230	2	30.18	58	55		3	ST			15	220	9	2			
