YYYYMMDD	Hour	Lat	Long	Course	PL	Distance	Ice_Log	URL_W	URL_E	Note	Ice_1	Ice_2	Orig Lat	Orig Lon	Orig Course	DirM	DirT	Kts	Baro	Dry	Water	Weather	Other
1864-01-02	1	21.52	-105.28			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-01/581208-lancaster-005/581208-lancaster-005-067.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-01/581208-lancaster-005/581208-lancaster-005-067.JPG	 						888	888	2				bc	
1864-01-02	2	21.52	-105.28			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-01/581208-lancaster-005/581208-lancaster-005-067.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-01/581208-lancaster-005/581208-lancaster-005-067.JPG	 													
1864-01-02	3	21.52	-105.28			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-01/581208-lancaster-005/581208-lancaster-005-067.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-01/581208-lancaster-005/581208-lancaster-005-067.JPG	 													
1864-01-02	4	21.52	-105.28			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-01/581208-lancaster-005/581208-lancaster-005-067.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-01/581208-lancaster-005/581208-lancaster-005-067.JPG	 									29.92	70			
1864-01-02	5	21.52	-105.28			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-01/581208-lancaster-005/581208-lancaster-005-067.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-01/581208-lancaster-005/581208-lancaster-005-067.JPG	 						888	888	2				bc	
1864-01-02	6	21.52	-105.28			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-01/581208-lancaster-005/581208-lancaster-005-067.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-01/581208-lancaster-005/581208-lancaster-005-067.JPG	"0600: The weather data are out by 12 hours. This entry should be at 6 PM, but it needs to be checked."					sw								
1864-01-02	7	21.52	-105.28			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-01/581208-lancaster-005/581208-lancaster-005-067.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-01/581208-lancaster-005/581208-lancaster-005-067.JPG	The weather data below are from the Events entries. Those times seem to be correct. Just the grid data are offset.					sw								
1864-01-02	8	21.52	-105.28			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-01/581208-lancaster-005/581208-lancaster-005-067.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-01/581208-lancaster-005/581208-lancaster-005-067.JPG	8AM: TT 72. PPP 29.95.					sw				29.95	72			
1864-01-02	9	21.52	-105.28			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-01/581208-lancaster-005/581208-lancaster-005-067.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-01/581208-lancaster-005/581208-lancaster-005-067.JPG	0900: W 2 bc					sw	270	279	5				bc	
1864-01-02	10	21.52	-105.28			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-01/581208-lancaster-005/581208-lancaster-005-067.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-01/581208-lancaster-005/581208-lancaster-005-067.JPG	 					sw								
1864-01-02	11	21.52	-105.28			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-01/581208-lancaster-005/581208-lancaster-005-067.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-01/581208-lancaster-005/581208-lancaster-005-067.JPG	 					sw								
1864-01-02	12	21.52	-105.28			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-01/581208-lancaster-005/581208-lancaster-005-067.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-01/581208-lancaster-005/581208-lancaster-005-067.JPG	"Noon: 74  29.98 Noon: San Blas, Mexico."					sw				29.98	74			
1864-01-02	13	21.52	-105.28			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-01/581208-lancaster-005/581208-lancaster-005-067.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-01/581208-lancaster-005/581208-lancaster-005-067.JPG	1300: v 1 bc					sw	888	888	2				bc	
1864-01-02	14	21.52	-105.28			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-01/581208-lancaster-005/581208-lancaster-005-067.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-01/581208-lancaster-005/581208-lancaster-005-067.JPG	1400: sw 1 bc					sw	225	234	2				bc	
1864-01-02	15	21.52	-105.28			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-01/581208-lancaster-005/581208-lancaster-005-067.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-01/581208-lancaster-005/581208-lancaster-005-067.JPG	1500: 74    29.99					sw				29.99	74			
1864-01-02	16	21.52	-105.28			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-01/581208-lancaster-005/581208-lancaster-005-067.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-01/581208-lancaster-005/581208-lancaster-005-067.JPG	1630: Got Underway					sxe								
1864-01-02	17	21.50	-105.27	225		1.0		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-01/581208-lancaster-005/581208-lancaster-005-067.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-01/581208-lancaster-005/581208-lancaster-005-067.JPG	 					sxe								
