YYYYMMDD	Hour	Lat	Long	Course	PL	Distance	Ice_Log	URL_W	URL_E	Note	Ice_1	Ice_2	Orig Lat	Orig Lon	Orig Course	DirM	DirT	Kts	Baro	Attd	Dry	Wet	Water	SeaT	Weather	Clouds	Clear	Flora&Fauna	People	Ships	Other
1873-01-01	24	-26.69	-44.99	208.12		2.4		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-omaha-002/581208-omaha-002-138.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-omaha-002/581208-omaha-002-138.JPG	 					ssw1/2w	11	9	5	30	81	80	80	80		bclm	cu cir	5				
1873-01-02	1	-26.75	-45	180		2		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-omaha-002/581208-omaha-002-139.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-omaha-002/581208-omaha-002-139.JPG	 					s	248	246	2	29.95	76	78	77	79		oc	cum nimb	0				
1873-01-02	2	-26.81	-45	168.75		2.4		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-omaha-002/581208-omaha-002-139.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-omaha-002/581208-omaha-002-139.JPG	 					sxe	236	234	2	29.94	76	78	77	80		bc	cum nimb	3				
1873-01-02	3	-26.85	-45	157.5		1		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-omaha-002/581208-omaha-002-139.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-omaha-002/581208-omaha-002-139.JPG	 					sse	225	223	1	29.92	77	77	76	80		oc	cum nimb	4				
1873-01-02	4	-26.87	-45.02			0		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-omaha-002/581208-omaha-002-139.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-omaha-002/581208-omaha-002-139.JPG	 						0	0	0	29.9	78	77	76	80		bc	cum nimb	8				
1873-01-02	5	-26.9	-45.03	208.12		0.4		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-omaha-002/581208-omaha-002-139.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-omaha-002/581208-omaha-002-139.JPG	 					ssw1/2w	135	133	1	29.95	76	77	76	80		bc	cum nimb	8				
1873-01-02	6	-26.95	-45.06	208.12		1.6		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-omaha-002/581208-omaha-002-139.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-omaha-002/581208-omaha-002-139.JPG	 					ssw1/2w	135	133	2	29.95	76	77	76	80		bc	cum nimb	8				
1873-01-02	7	-27.01	-45.09	208.12		2.6		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-omaha-002/581208-omaha-002-139.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-omaha-002/581208-omaha-002-139.JPG	 					ssw1/2w	135	133	2	29.91	80	79	78	79		bc	cum nimb	8				
1873-01-02	8	-27.09	-45.14	208.12		4		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-omaha-002/581208-omaha-002-139.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-omaha-002/581208-omaha-002-139.JPG	 					ssw1/2w	124	122	8	30	80	79	79	79		bc	cum nimb	8				
1873-01-02	9	-27.16	-45.17	208.12		3		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-omaha-002/581208-omaha-002-139.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-omaha-002/581208-omaha-002-139.JPG	 					ssw1/2w	124	122	5	30	80	80	80	80		bc	cum nimb	8				
1873-01-02	10	-27.23	-45.21	208.12		3		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-omaha-002/581208-omaha-002-139.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-omaha-002/581208-omaha-002-139.JPG	 					ssw1/2w	124	122	5	30	80	80	80	80		bc	cum nimb	8				
1873-01-02	11	-27.27	-45.23	208.12		1		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-omaha-002/581208-omaha-002-139.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-omaha-002/581208-omaha-002-139.JPG	 					ssw1/2w	124	122	2	30	82	81	81	80		bc	cum nimb	8				
1873-01-02	12	-27.3	-45.25	208.12		0.6		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-omaha-002/581208-omaha-002-139.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-omaha-002/581208-omaha-002-139.JPG	 			27 18S	45 15W	ssw1/2w	124	122	2	30	82	81	81	80		bc	cum nimb	0				
1873-01-02	13	-27.31	-45.26	211		0.8		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-omaha-002/581208-omaha-002-139.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-omaha-002/581208-omaha-002-139.JPG	 					ssw1/2w|swxs	124	122	2	29.98	82	82	82	80		bc	cir cum	2				
1873-01-02	14	-27.32	-45.26	213.75		0.4		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-omaha-002/581208-omaha-002-139.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-omaha-002/581208-omaha-002-139.JPG	 					swxs	112	110	1	29.98	83	82	82	80		bc	cir cum	2				
1873-01-02	15	-27.34	-45.27	213.75		1.4		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-omaha-002/581208-omaha-002-139.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-omaha-002/581208-omaha-002-139.JPG	 					swxs	135	133	2	29.96	83	82	81	80		bc	cir cum	2				
1873-01-02	16	-27.38	-45.3	213.75		3		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-omaha-002/581208-omaha-002-139.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-omaha-002/581208-omaha-002-139.JPG	 					swxs	135	133	5	29.95	82	81	81	80		bc	cir cum	2				
1873-01-02	17	-27.44	-45.33	213.75		4		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-omaha-002/581208-omaha-002-139.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-omaha-002/581208-omaha-002-139.JPG	 					swxs	112	110	5	29.92	82	81	80	80		bc	cir cum	8				
