YYYYMMDD	Hour	Lat	Long	Course	PL	Distance	Ice_Log	URL_W	URL_E	Note	Ice_1	Ice_2	Orig Lat	Orig Lon	Orig Course	DirM	DirT	Kts	Baro	Attd	Dry	Wet	Water	Weather	Clouds	Clear	Flora&Fauna	People	Ships
1875-01-03	6	35.46	139.66			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-01/581208-lackawanna-022/581208-lackawanna-022-012.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-01/581208-lackawanna-022/581208-lackawanna-022-012.JPG	 						315	311	2	30.16	40	36	40		bm	none	10			
1875-01-03	7	35.46	139.66			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-01/581208-lackawanna-022/581208-lackawanna-022-012.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-01/581208-lackawanna-022/581208-lackawanna-022-012.JPG	 						315	311	2	30.16	40	35	38		bm	none	10			
1875-01-03	8	35.46	139.66			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-01/581208-lackawanna-022/581208-lackawanna-022-012.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-01/581208-lackawanna-022/581208-lackawanna-022-012.JPG	 						315	311	2	30.16	40	38	38		bm	none	10			
1875-01-03	9	35.46	139.66			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-01/581208-lackawanna-022/581208-lackawanna-022-012.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-01/581208-lackawanna-022/581208-lackawanna-022-012.JPG	 						360	356	2	30.15	41	40	40		bm	none	10			
1875-01-03	10	35.46	139.66			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-01/581208-lackawanna-022/581208-lackawanna-022-012.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-01/581208-lackawanna-022/581208-lackawanna-022-012.JPG	 						23	19	2	30.14	42	41	42		bm	none	10			
1875-01-03	11	35.46	139.66			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-01/581208-lackawanna-022/581208-lackawanna-022-012.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-01/581208-lackawanna-022/581208-lackawanna-022-012.JPG	 						45	41	2	30.14	43	42	45		bm	none	10			
1875-01-03	12	35.46	139.66			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-01/581208-lackawanna-022/581208-lackawanna-022-012.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-01/581208-lackawanna-022/581208-lackawanna-022-012.JPG	 						90	86	2	30.14	45	45	46		bm	none	10			
1875-01-03	13	35.46	139.66			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-01/581208-lackawanna-022/581208-lackawanna-022-012.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-01/581208-lackawanna-022/581208-lackawanna-022-012.JPG	 						90	86	2	30.13	52	57	49		bc	cum	9			
1875-01-03	14	35.46	139.66			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-01/581208-lackawanna-022/581208-lackawanna-022-012.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-01/581208-lackawanna-022/581208-lackawanna-022-012.JPG	 						90	86	2	30.13	52	57	49		bc	cum	9			
1875-01-03	15	35.46	139.66			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-01/581208-lackawanna-022/581208-lackawanna-022-012.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-01/581208-lackawanna-022/581208-lackawanna-022-012.JPG	 						90	86	2	30.11	52	57	49		bc	cum	9			
1875-01-03	16	35.46	139.66			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-01/581208-lackawanna-022/581208-lackawanna-022-012.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-01/581208-lackawanna-022/581208-lackawanna-022-012.JPG	 						90	86	2	30.11	52	57	49		bc	cum	9			
1875-01-03	17	35.46	139.66			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-01/581208-lackawanna-022/581208-lackawanna-022-012.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-01/581208-lackawanna-022/581208-lackawanna-022-012.JPG	 						90	86	2	30.12	50	50	47		bc	cum	9			
1875-01-03	18	35.46	139.66			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-01/581208-lackawanna-022/581208-lackawanna-022-012.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-01/581208-lackawanna-022/581208-lackawanna-022-012.JPG	 						360	356	24	30.14	48	49	47		bc	cum	9			
1875-01-03	19	35.46	139.66			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-01/581208-lackawanna-022/581208-lackawanna-022-012.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-01/581208-lackawanna-022/581208-lackawanna-022-012.JPG	 						360	356	24	30.16	45	47	46		bc	none	10			
1875-01-03	20	35.46	139.66			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-01/581208-lackawanna-022/581208-lackawanna-022-012.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-01/581208-lackawanna-022/581208-lackawanna-022-012.JPG	 						360	356	24	30.17	43	45	45		bc	none	10			
1875-01-03	21	35.46	139.66			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-01/581208-lackawanna-022/581208-lackawanna-022-012.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-01/581208-lackawanna-022/581208-lackawanna-022-012.JPG	 						360	356	19	30.18	42	42	40		bc	cum	9			
1875-01-03	22	35.46	139.66			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-01/581208-lackawanna-022/581208-lackawanna-022-012.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-01/581208-lackawanna-022/581208-lackawanna-022-012.JPG	 						360	356	16	30.19	42	42	40		bc	cum	9			
1875-01-03	23	35.46	139.66			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-01/581208-lackawanna-022/581208-lackawanna-022-012.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-01/581208-lackawanna-022/581208-lackawanna-022-012.JPG	 						360	356	16	30.19	42	42	40		bc	cum	6			
