YYYYMMDD	Hour	Lat	Long	Course	PL	Distance	Ice_Log	URL_W	URL_E	Note	Ice_1	Ice_2	Orig Lat	Orig Lon	Orig Course	DirM	DirT	Kts	Baro	Dry	Water	Weather	Clouds	From	Amount	VisM	Flora&Fauna	Ships
1924-04-08	23	54.09	-137.52	282		12.7		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23682940/content/dc-metro/rg-026/585454/0002/Haida-1924-04/Haida-1924-04-0013.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23682940/content/dc-metro/rg-026/585454/0002/Haida-1924-04/Haida-1924-04-0013.JPG	 			54.0894	-137.5191	282	202	230	8	30.23	42	44	ocf		202.5	10	1		
1924-04-08	24	54.23	-137.8	282		13		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23682940/content/dc-metro/rg-026/585454/0002/Haida-1924-04/Haida-1924-04-0013.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23682940/content/dc-metro/rg-026/585454/0002/Haida-1924-04/Haida-1924-04-0013.JPG	April 09 Missing. April 10 0800 and Noon positions inconsistent. First 13 hours of April 10th deleted.			54.2286	-137.8019	282	202	230	8	30.23	40	44	ocf		202.5	10	2		
1924-04-10	14	59.75	-149.35	888		11.4		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23682940/content/dc-metro/rg-026/585454/0002/Haida-1924-04/Haida-1924-04-0014.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23682940/content/dc-metro/rg-026/585454/0002/Haida-1924-04/Haida-1924-04-0014.JPG	1425: Rugged Island Light abeam			59.7508	-149.346	v	360	27	19	29.55	35	42	os	cun		10	7		
1924-04-10	15	59.96	-149.37	888		12.8		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23682940/content/dc-metro/rg-026/585454/0002/Haida-1924-04/Haida-1924-04-0014.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23682940/content/dc-metro/rg-026/585454/0002/Haida-1924-04/Haida-1924-04-0014.JPG	"1545: Moored, Seward, Alaska"			59.963	-149.374	v	22	50	5	29.53	35	42	os	cun		10	7		
1924-04-10	16	60.11	-149.42	888		8.1		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23682940/content/dc-metro/rg-026/585454/0002/Haida-1924-04/Haida-1924-04-0014.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23682940/content/dc-metro/rg-026/585454/0002/Haida-1924-04/Haida-1924-04-0014.JPG	 			60.11	-149.42	v	0	0	0	29.50	36	42	o	cun		10	7		
1924-04-10	17	60.11	-149.42			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23682940/content/dc-metro/rg-026/585454/0002/Haida-1924-04/Haida-1924-04-0014.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23682940/content/dc-metro/rg-026/585454/0002/Haida-1924-04/Haida-1924-04-0014.JPG	 			60.11	-149.42														
1924-04-10	18	60.11	-149.42			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23682940/content/dc-metro/rg-026/585454/0002/Haida-1924-04/Haida-1924-04-0014.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23682940/content/dc-metro/rg-026/585454/0002/Haida-1924-04/Haida-1924-04-0014.JPG	 			60.11	-149.42														
1924-04-10	19	60.11	-149.42			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23682940/content/dc-metro/rg-026/585454/0002/Haida-1924-04/Haida-1924-04-0014.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23682940/content/dc-metro/rg-026/585454/0002/Haida-1924-04/Haida-1924-04-0014.JPG	 			60.11	-149.42														
1924-04-10	20	60.11	-149.42			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23682940/content/dc-metro/rg-026/585454/0002/Haida-1924-04/Haida-1924-04-0014.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23682940/content/dc-metro/rg-026/585454/0002/Haida-1924-04/Haida-1924-04-0014.JPG	 			60.11	-149.42		0	0	0	29.38	34		ocs	n		10			
1924-04-10	21	60.11	-149.42			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23682940/content/dc-metro/rg-026/585454/0002/Haida-1924-04/Haida-1924-04-0014.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23682940/content/dc-metro/rg-026/585454/0002/Haida-1924-04/Haida-1924-04-0014.JPG	 			60.11	-149.42														
