YYYYMMDD	Hour	Lat	Long	Course	PL	Distance	Ice_Log	URL_W	URL_E	Note	Ice_1	Ice_2	Orig Lat	Orig Lon	Orig Course	Dir	Kts	Baro	Dry	Water	Weather	Other
1860-01-02	2	36.81	-76.29			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-01/581208-narragansett-001/581208-narragansett-001-037.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-01/581208-narragansett-001/581208-narragansett-001-037.JPG	 												
1860-01-02	3	36.81	-76.29			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-01/581208-narragansett-001/581208-narragansett-001-037.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-01/581208-narragansett-001/581208-narragansett-001-037.JPG	 												
1860-01-02	4	36.81	-76.29			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-01/581208-narragansett-001/581208-narragansett-001-037.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-01/581208-narragansett-001/581208-narragansett-001-037.JPG	0400: Another bad baro value. I changed 30.35 it to 30.53.								30.55	22			
1860-01-02	5	36.81	-76.29			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-01/581208-narragansett-001/581208-narragansett-001-037.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-01/581208-narragansett-001/581208-narragansett-001-037.JPG	 						360	13				b	
1860-01-02	6	36.81	-76.29			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-01/581208-narragansett-001/581208-narragansett-001-037.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-01/581208-narragansett-001/581208-narragansett-001-037.JPG	 												
1860-01-02	7	36.81	-76.29			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-01/581208-narragansett-001/581208-narragansett-001-037.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-01/581208-narragansett-001/581208-narragansett-001-037.JPG	 												
1860-01-02	8	36.81	-76.29			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-01/581208-narragansett-001/581208-narragansett-001-037.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-01/581208-narragansett-001/581208-narragansett-001-037.JPG	 								30.56	14			
1860-01-02	9	36.81	-76.29			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-01/581208-narragansett-001/581208-narragansett-001-037.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-01/581208-narragansett-001/581208-narragansett-001-037.JPG	 						360	13				b	
1860-01-02	10	36.81	-76.29			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-01/581208-narragansett-001/581208-narragansett-001-037.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-01/581208-narragansett-001/581208-narragansett-001-037.JPG	 												
1860-01-02	11	36.81	-76.29			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-01/581208-narragansett-001/581208-narragansett-001-037.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-01/581208-narragansett-001/581208-narragansett-001-037.JPG	 												
1860-01-02	12	36.81	-76.29			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-01/581208-narragansett-001/581208-narragansett-001-037.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-01/581208-narragansett-001/581208-narragansett-001-037.JPG	"Noon: Norfolk Naval Shipyard, Virginia."								30.52	25			
1860-01-02	13	36.81	-76.29			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-01/581208-narragansett-001/581208-narragansett-001-037.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-01/581208-narragansett-001/581208-narragansett-001-037.JPG	 						315	13				b	
1860-01-02	14	36.81	-76.29			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-01/581208-narragansett-001/581208-narragansett-001-037.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-01/581208-narragansett-001/581208-narragansett-001-037.JPG	 												
1860-01-02	15	36.81	-76.29			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-01/581208-narragansett-001/581208-narragansett-001-037.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-01/581208-narragansett-001/581208-narragansett-001-037.JPG	 												
1860-01-02	16	36.81	-76.29			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-01/581208-narragansett-001/581208-narragansett-001-037.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-01/581208-narragansett-001/581208-narragansett-001-037.JPG	 								30.60	21			
1860-01-02	17	36.81	-76.29			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-01/581208-narragansett-001/581208-narragansett-001-037.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-01/581208-narragansett-001/581208-narragansett-001-037.JPG	 						315					b	
1860-01-02	18	36.81	-76.29			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-01/581208-narragansett-001/581208-narragansett-001-037.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-01/581208-narragansett-001/581208-narragansett-001-037.JPG	 												
1860-01-02	19	36.81	-76.29			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-01/581208-narragansett-001/581208-narragansett-001-037.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-01/581208-narragansett-001/581208-narragansett-001-037.JPG	 												
1860-01-02	20	36.81	-76.29			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-01/581208-narragansett-001/581208-narragansett-001-037.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-01/581208-narragansett-001/581208-narragansett-001-037.JPG	2000: This temperature of 11 looks wrong. Maybe 21.								30.60	11			
1860-01-02	21	36.81	-76.29			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-01/581208-narragansett-001/581208-narragansett-001-037.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-01/581208-narragansett-001/581208-narragansett-001-037.JPG	 						360	13				b	
1860-01-02	22	36.81	-76.29			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-01/581208-narragansett-001/581208-narragansett-001-037.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-01/581208-narragansett-001/581208-narragansett-001-037.JPG	 												
1860-01-02	23	36.81	-76.29			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-01/581208-narragansett-001/581208-narragansett-001-037.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-01/581208-narragansett-001/581208-narragansett-001-037.JPG	 												
1860-01-02	24	36.81	-76.29			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-01/581208-narragansett-001/581208-narragansett-001-037.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-01/581208-narragansett-001/581208-narragansett-001-037.JPG	 								30.65	19			
