YYYYMMDD	Hour	Lat	Long	Course	PL	Distance	Ice_Log	URL_W	URL_E	Note	Ice_1	Ice_2	Orig Lat	Orig Long	Orig Course	DirM	DirT	Kts	Baro	Dry	Water	Weather	Flora&Fauna	People	Ships	Other
1866-01-03	2	35.58	-41.18	98.44		8.8		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-shenandoah-004/581208-shenandoah-004-026.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-shenandoah-004/581208-shenandoah-004-026.JPG	 					e3/4s	270	250	19			65	bc				
1866-01-03	3	35.58	-41.06	98.44		8.0		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-shenandoah-004/581208-shenandoah-004-026.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-shenandoah-004/581208-shenandoah-004-026.JPG	 					e3/4s	270	250	19				bc				
1866-01-03	4	35.57	-40.94	98.44		8.0		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-shenandoah-004/581208-shenandoah-004-026.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-shenandoah-004/581208-shenandoah-004-026.JPG	 					e3/4s	270	250	19	30.27		65	bc				
1866-01-03	5	35.57	-40.82	98.44		7.5		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-shenandoah-004/581208-shenandoah-004-026.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-shenandoah-004/581208-shenandoah-004-026.JPG	 					e3/4s	270	250	19				c				
1866-01-03	6	35.56	-40.72	98.44		7.0		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-shenandoah-004/581208-shenandoah-004-026.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-shenandoah-004/581208-shenandoah-004-026.JPG	 					e3/4s	270	250	19				c				
1866-01-03	7	35.56	-40.63	97		6.8		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-shenandoah-004/581208-shenandoah-004-026.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-shenandoah-004/581208-shenandoah-004-026.JPG	 					"e3/4s,e1/2s"	270	250	19				c				
1866-01-03	8	35.55	-40.54	95.62		6.5		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-shenandoah-004/581208-shenandoah-004-026.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-shenandoah-004/581208-shenandoah-004-026.JPG	 					e1/2s	270	250	19	30.26			c				
1866-01-03	9	35.55	-40.44	95.62		7.0		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-shenandoah-004/581208-shenandoah-004-026.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-shenandoah-004/581208-shenandoah-004-026.JPG	 					e1/2s	270	250	13				c				
1866-01-03	10	35.55	-40.34	95.62		7.0		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-shenandoah-004/581208-shenandoah-004-026.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-shenandoah-004/581208-shenandoah-004-026.JPG	 					e1/2s	270	250	13				c				
1866-01-03	11	35.55	-40.22	95.62		8.0		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-shenandoah-004/581208-shenandoah-004-026.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-shenandoah-004/581208-shenandoah-004-026.JPG	 					e1/2s	315	295	19				q				
1866-01-03	12	35.53	-40.07	106.88		9.5		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-shenandoah-004/581208-shenandoah-004-026.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-shenandoah-004/581208-shenandoah-004-026.JPG	 			35 32N	40 4W	exs1/2s	23	3	24	30.26	69		bc				
1866-01-03	13	35.52	-39.92	112.5		7.8		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-shenandoah-004/581208-shenandoah-004-026.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-shenandoah-004/581208-shenandoah-004-026.JPG	 					ese	45	25	13		66		bcqm				
1866-01-03	14	35.51	-39.81	112.5		6.3		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-shenandoah-004/581208-shenandoah-004-026.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-shenandoah-004/581208-shenandoah-004-026.JPG	 					ese	45	25	13		63	65	oqr				
1866-01-03	15	35.52	-39.68	101.25		7.0		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-shenandoah-004/581208-shenandoah-004-026.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-shenandoah-004/581208-shenandoah-004-026.JPG	 					exs	34	14	13		62		oqr				
1866-01-03	16	35.52	-39.56	106.88		6.5		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-shenandoah-004/581208-shenandoah-004-026.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-shenandoah-004/581208-shenandoah-004-026.JPG	 					exs1/2s	34	14	8	30.28	62	65	oqr				
1866-01-03	17	35.54	-39.42	101.25		7.9		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-shenandoah-004/581208-shenandoah-004-026.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-shenandoah-004/581208-shenandoah-004-026.JPG	 					exs	34	14	13		61	65	o				
1866-01-03	18	35.54	-39.30	106.88		6.5		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-shenandoah-004/581208-shenandoah-004-026.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-shenandoah-004/581208-shenandoah-004-026.JPG	 					exs1/2s	56	36	13	30.23	61	65	o				
1866-01-03	19	35.55	-39.17	101.25		7.0		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-shenandoah-004/581208-shenandoah-004-026.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-shenandoah-004/581208-shenandoah-004-026.JPG	 					exs	45	23	8		61		oc				
1866-01-03	20	35.55	-39.05	106.88		6.5		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-shenandoah-004/581208-shenandoah-004-026.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-shenandoah-004/581208-shenandoah-004-026.JPG	 					exs1/2s	45	23	8	30.29	61	65	oc				
1866-01-03	21	35.53	-38.95	115.31		5.5		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-shenandoah-004/581208-shenandoah-004-026.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-shenandoah-004/581208-shenandoah-004-026.JPG	 					sexe3/4e	56	34	8		61		oc				
