YYYYMMDD	Hour	Lat	Long	Course	PL	Distance	Ice_Log	URL_W	URL_E	Note	Ice_1	Ice_2	Orig Lat	Orig Lon	Orig Course	DirM	DirT	Kts	Baro	Attd	Dry	Wet	Water	Weather	Clouds	Clear	Ships	Other
1869-01-01	24	-27.61	55.05	270		4.5		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-shenandoah-014/581208-shenandoah-014-023.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-shenandoah-014/581208-shenandoah-014-023.JPG	 					w	203	188	5	29.98	77	75	75	76	bc	nim cum	5		
1869-01-02	1	-27.62	55.00	270		3.0		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-shenandoah-014/581208-shenandoah-014-024.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-shenandoah-014/581208-shenandoah-014-024.JPG	 					w	203	188	5						c	cum nim	0		
1869-01-02	2	-27.63	54.95	270		3.0		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-shenandoah-014/581208-shenandoah-014-024.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-shenandoah-014/581208-shenandoah-014-024.JPG	 					w	203	188	5	29.95	79	79	71	76	c	cum nim	0		
1869-01-02	3	-27.64	54.90	270		3.0		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-shenandoah-014/581208-shenandoah-014-024.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-shenandoah-014/581208-shenandoah-014-024.JPG	 					w	203	188	5						c	cum nim	1		
1869-01-02	4	-27.66	54.84	270		3.8		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-shenandoah-014/581208-shenandoah-014-024.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-shenandoah-014/581208-shenandoah-014-024.JPG	 					w	203	188	5	29.95	79	79	71	76	b	cum nim	2		
1869-01-02	5	-27.66	54.77	278.44		3.8		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-shenandoah-014/581208-shenandoah-014-024.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-shenandoah-014/581208-shenandoah-014-024.JPG	 					w3/4n	208	193	5						b	cum nim	2		
1869-01-02	6	-27.67	54.74	270		2.0		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-shenandoah-014/581208-shenandoah-014-024.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-shenandoah-014/581208-shenandoah-014-024.JPG	 					w	203	188	5	30.01	70	74	76	74	bc	cum	4		
1869-01-02	7	-27.67	54.71	270		2.0		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-shenandoah-014/581208-shenandoah-014-024.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-shenandoah-014/581208-shenandoah-014-024.JPG	 					w	203	188	5						bc	cir cum	6		
1869-01-02	8	-27.68	54.67	270		2.3		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-shenandoah-014/581208-shenandoah-014-024.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-shenandoah-014/581208-shenandoah-014-024.JPG	 					w	203	188	5	30.02	77	74	76	74	bc	cir cum	8		
1869-01-02	9	-27.69	54.64	270		2.0		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-shenandoah-014/581208-shenandoah-014-024.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-shenandoah-014/581208-shenandoah-014-024.JPG	 					w	203	188	5						bc	cir cum	8		
