YYYYMMDD	Hour	Lat	Long	Course	PL	Distance	Ice_Log	URL_W	URL_E	Note	Ice_1	Ice_2	Orig Lat	Orig Lon	Orig Course	DirM	DirT	Kts	Baro	Attd	Dry	Wet	Water	Weather	Clouds	Clear	Flora&Fauna	Ships	Other
1886-01-02	1	-29.95	-71.33			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-shenandoah-038/581208-shenandoah-038-070.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-shenandoah-038/581208-shenandoah-038-070.JPG	 			-29.95	-71.33		169	183	2	29.95	64	63	61		bcm	cir cum	9			
1886-01-02	2	-29.95	-71.33			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-shenandoah-038/581208-shenandoah-038-070.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-shenandoah-038/581208-shenandoah-038-070.JPG	 			-29.95	-71.33		169	183	2	29.95	64	63	61		bcm	cir cum	9			
1886-01-02	3	-29.95	-71.33			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-shenandoah-038/581208-shenandoah-038-070.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-shenandoah-038/581208-shenandoah-038-070.JPG	 			-29.95	-71.33		0	0	0	29.95	64	63	61		bcm	cir cum	8			
1886-01-02	4	-29.95	-71.33			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-shenandoah-038/581208-shenandoah-038-070.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-shenandoah-038/581208-shenandoah-038-070.JPG	 			-29.95	-71.33		0	0	0	29.95	63	60	59		bcm	cir cum	7			
1886-01-02	5	-29.95	-71.33			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-shenandoah-038/581208-shenandoah-038-070.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-shenandoah-038/581208-shenandoah-038-070.JPG	 			-29.95	-71.33		0	0	0	29.95	63	60	59		bcm	cir cum	5			
1886-01-02	6	-29.95	-71.33			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-shenandoah-038/581208-shenandoah-038-070.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-shenandoah-038/581208-shenandoah-038-070.JPG	 			-29.95	-71.33		0	0	0	29.95	63	61	59		bcm	cir cum	6			
1886-01-02	7	-29.95	-71.33			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-shenandoah-038/581208-shenandoah-038-070.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-shenandoah-038/581208-shenandoah-038-070.JPG	 			-29.95	-71.33		0	0	0	29.97	64	62	60		bcm	cir cum	7			
1886-01-02	8	-29.95	-71.33			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-shenandoah-038/581208-shenandoah-038-070.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-shenandoah-038/581208-shenandoah-038-070.JPG	 			-29.95	-71.33		315	329	5	29.97	64	62	60		bcm	cir cum	7			
1886-01-02	9	-29.95	-71.33			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-shenandoah-038/581208-shenandoah-038-070.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-shenandoah-038/581208-shenandoah-038-070.JPG	 			-29.95	-71.33		315	329	5	30.00	64	62	60		bcm	cir cum	8			
1886-01-02	10	-29.95	-71.33			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-shenandoah-038/581208-shenandoah-038-070.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-shenandoah-038/581208-shenandoah-038-070.JPG	 			-29.95	-71.33		315	329	8	30.02	64	63	60		bm	none	10			
1886-01-02	11	-29.95	-71.33			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-shenandoah-038/581208-shenandoah-038-070.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-shenandoah-038/581208-shenandoah-038-070.JPG	 			-29.95	-71.33		315	329	5	30.03	65	65	60		bm	none	10			
1886-01-02	12	-29.95	-71.33			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-shenandoah-038/581208-shenandoah-038-070.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-shenandoah-038/581208-shenandoah-038-070.JPG	"Noon: Coquimbo, Chile."			-29.95	-71.33		315	329	5	30.03	66	67	61		bm	none	10			
1886-01-02	13	-29.95	-71.33			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-shenandoah-038/581208-shenandoah-038-070.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-shenandoah-038/581208-shenandoah-038-070.JPG	 			-29.95	-71.33		225	239	3	30.02	68	75	67		b	none	10			
1886-01-02	14	-29.95	-71.33			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-shenandoah-038/581208-shenandoah-038-070.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-shenandoah-038/581208-shenandoah-038-070.JPG	 			-29.95	-71.33		248	262	3	30.00	68	82	71		b	none	10			
1886-01-02	15	-29.95	-71.33			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-shenandoah-038/581208-shenandoah-038-070.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-shenandoah-038/581208-shenandoah-038-070.JPG	 			-29.95	-71.33		248	262	5	30.00	68	84	71		b	none	10			
1886-01-02	16	-29.95	-71.33			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-shenandoah-038/581208-shenandoah-038-070.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-shenandoah-038/581208-shenandoah-038-070.JPG	 			-29.95	-71.33		225	239	5	30.00	70	76	66		b	none	10			
1886-01-02	17	-29.95	-71.33			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-shenandoah-038/581208-shenandoah-038-070.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-shenandoah-038/581208-shenandoah-038-070.JPG	 			-29.95	-71.33		203	217	5	29.98	71	78	68		b	none	10			
1886-01-02	18	-29.95	-71.33			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-shenandoah-038/581208-shenandoah-038-070.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-shenandoah-038/581208-shenandoah-038-070.JPG	 			-29.95	-71.33		203	217	5	29.96	70	78	67		b	none	10			
1886-01-02	19	-29.95	-71.33			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-shenandoah-038/581208-shenandoah-038-070.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-shenandoah-038/581208-shenandoah-038-070.JPG	 			-29.95	-71.33		68	82	2	29.93	69	72	65		b	none	10			
1886-01-02	20	-29.95	-71.33			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-shenandoah-038/581208-shenandoah-038-070.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-shenandoah-038/581208-shenandoah-038-070.JPG	 			-29.95	-71.33		90	104	2	29.93	69	67	62		bm	none	10			
1886-01-02	21	-29.95	-71.33			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-shenandoah-038/581208-shenandoah-038-070.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-shenandoah-038/581208-shenandoah-038-070.JPG	 			-29.95	-71.33		90	104	2	29.93	69	67	62		bm	none	10			
1886-01-02	22	-29.95	-71.33			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-shenandoah-038/581208-shenandoah-038-070.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-shenandoah-038/581208-shenandoah-038-070.JPG	 			-29.95	-71.33		90	104	2	29.94	67	65	61		bcm	none	10			
1886-01-02	23	-29.95	-71.33			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-shenandoah-038/581208-shenandoah-038-070.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-shenandoah-038/581208-shenandoah-038-070.JPG	 			-29.95	-71.33		90	104	2	29.94	67	64	61		bcm	none	10			
1886-01-02	24	-29.95	-71.33			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-shenandoah-038/581208-shenandoah-038-070.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-shenandoah-038/581208-shenandoah-038-070.JPG	 			-29.95	-71.33		90	104	2	29.94	65	62	60		bcm	none	10			
