YYYYMMDD	Hour	Lat	Long	Course	PL	Distance	Ice_Log	URL_W	URL_E	Note	Ice_1	Ice_2	Orig Lat	Orig Lon	Orig Course	DirM	DirT	Kts	Baro	Dry	Weather	Other			
1865-02-15	20	38.69	-9.17			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-sacramento-003/581208-sacramento-003-007.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-sacramento-003/581208-sacramento-003-007.JPG	 						225	204	2	29.79	55	bc				
1865-02-15	21	38.69	-9.17			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-sacramento-003/581208-sacramento-003-007.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-sacramento-003/581208-sacramento-003-007.JPG	 						191	170	2			bc				
1865-02-15	22	38.69	-9.17			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-sacramento-003/581208-sacramento-003-007.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-sacramento-003/581208-sacramento-003-007.JPG	 						191	170	2			o				
1865-02-15	23	38.69	-9.17			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-sacramento-003/581208-sacramento-003-007.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-sacramento-003/581208-sacramento-003-007.JPG	 						225	204	2			o				
1865-02-15	24	38.69	-9.17			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-sacramento-003/581208-sacramento-003-007.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-sacramento-003/581208-sacramento-003-007.JPG	 						225	204	12	29.72		oqr				
1865-02-16	1	38.69	-9.17			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-sacramento-003/581208-sacramento-003-008.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-sacramento-003/581208-sacramento-003-008.JPG	 						225	204	12			bc				
1865-02-16	2	38.69	-9.17			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-sacramento-003/581208-sacramento-003-008.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-sacramento-003/581208-sacramento-003-008.JPG	 						225	204	12			bc				
1865-02-16	3	38.69	-9.17			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-sacramento-003/581208-sacramento-003-008.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-sacramento-003/581208-sacramento-003-008.JPG	 						270	249	12			bc				
1865-02-16	4	38.69	-9.17			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-sacramento-003/581208-sacramento-003-008.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-sacramento-003/581208-sacramento-003-008.JPG	 						270	249	5	29.66	52	bc				
1865-02-16	5	38.69	-9.17			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-sacramento-003/581208-sacramento-003-008.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-sacramento-003/581208-sacramento-003-008.JPG	 						270	249	5			bc				
1865-02-16	6	38.69	-9.17			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-sacramento-003/581208-sacramento-003-008.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-sacramento-003/581208-sacramento-003-008.JPG	 						270	249	5			bc				
1865-02-16	7	38.69	-9.17			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-sacramento-003/581208-sacramento-003-008.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-sacramento-003/581208-sacramento-003-008.JPG	 						270	249	5			bc				
1865-02-16	8	38.69	-9.17			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-sacramento-003/581208-sacramento-003-008.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-sacramento-003/581208-sacramento-003-008.JPG	 						270	249	5	29.69	60	bc				
1865-02-16	9	38.69	-9.17			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-sacramento-003/581208-sacramento-003-008.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-sacramento-003/581208-sacramento-003-008.JPG	 						270	249	5			bc				
1865-02-16	10	38.69	-9.17			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-sacramento-003/581208-sacramento-003-008.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-sacramento-003/581208-sacramento-003-008.JPG	 						270	249	5			bc				
1865-02-16	11	38.69	-9.17			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-sacramento-003/581208-sacramento-003-008.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-sacramento-003/581208-sacramento-003-008.JPG	 						270	249	5			bc				
1865-02-16	12	38.69	-9.17			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-sacramento-003/581208-sacramento-003-008.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-sacramento-003/581208-sacramento-003-008.JPG	"Noon: Lisbon, Portugal."						270	249	5	29.77	60	bc				
1865-02-16	13	38.69	-9.17			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-sacramento-003/581208-sacramento-003-008.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-sacramento-003/581208-sacramento-003-008.JPG	 						270	249	13			bcq				
1865-02-16	14	38.69	-9.17			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-sacramento-003/581208-sacramento-003-008.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-sacramento-003/581208-sacramento-003-008.JPG	 						270	249	13			bcq				
1865-02-16	15	38.69	-9.17			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-sacramento-003/581208-sacramento-003-008.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-sacramento-003/581208-sacramento-003-008.JPG	 						270	249	13			bcq				
1865-02-16	16	38.69	-9.17			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-sacramento-003/581208-sacramento-003-008.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-sacramento-003/581208-sacramento-003-008.JPG	 						270	249	13	29.79	59	bcq				
1865-02-16	17	38.69	-9.17			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-sacramento-003/581208-sacramento-003-008.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-sacramento-003/581208-sacramento-003-008.JPG	 						270	249	10			bcq				
1865-02-16	18	38.69	-9.17			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-sacramento-003/581208-sacramento-003-008.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-sacramento-003/581208-sacramento-003-008.JPG	 						270	249	10			bcq				
1865-02-16	19	38.69	-9.17			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-sacramento-003/581208-sacramento-003-008.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-sacramento-003/581208-sacramento-003-008.JPG	 						270	249	10			oq				
1865-02-16	20	38.69	-9.17			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-sacramento-003/581208-sacramento-003-008.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-sacramento-003/581208-sacramento-003-008.JPG	 						270	249	10			oq				
1865-02-16	21	38.69	-9.17			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-sacramento-003/581208-sacramento-003-008.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-sacramento-003/581208-sacramento-003-008.JPG	 						270	249	5			bc				
1865-02-16	22	38.69	-9.17			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-sacramento-003/581208-sacramento-003-008.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-sacramento-003/581208-sacramento-003-008.JPG	 						270	249	5			bcp				
1865-02-16	23	38.69	-9.17			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-sacramento-003/581208-sacramento-003-008.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-sacramento-003/581208-sacramento-003-008.JPG	 						270	249	5			bc				
1865-02-16	24	38.69	-9.17			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-sacramento-003/581208-sacramento-003-008.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-sacramento-003/581208-sacramento-003-008.JPG	 						315	294	5	29.84	54	bc				
1865-02-17	1	38.69	-9.17			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-sacramento-003/581208-sacramento-003-008.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-sacramento-003/581208-sacramento-003-008.JPG	 						315	294	5			bcp				
1865-02-17	2	38.69	-9.17			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-sacramento-003/581208-sacramento-003-008.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-sacramento-003/581208-sacramento-003-008.JPG	 						315	294	5			bcp				
1865-02-17	3	38.69	-9.17			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-sacramento-003/581208-sacramento-003-008.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-sacramento-003/581208-sacramento-003-008.JPG	 						315	294	5			bcp				
1865-02-17	4	38.69	-9.17			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-sacramento-003/581208-sacramento-003-008.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-sacramento-003/581208-sacramento-003-008.JPG	 						315	294	5	29.87	58	bcp				
1865-02-17	5	38.69	-9.17			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-sacramento-003/581208-sacramento-003-008.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-sacramento-003/581208-sacramento-003-008.JPG	 						315	294	2			bc				
1865-02-17	6	38.69	-9.17			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-sacramento-003/581208-sacramento-003-008.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-sacramento-003/581208-sacramento-003-008.JPG	 						315	294	2			bc				
1865-02-17	7	38.69	-9.17			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-sacramento-003/581208-sacramento-003-008.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-sacramento-003/581208-sacramento-003-008.JPG	 						315	294	2			bc				
1865-02-17	8	38.69	-9.17			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-sacramento-003/581208-sacramento-003-008.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-sacramento-003/581208-sacramento-003-008.JPG	 						315	294	2			bc				
1865-02-17	9	38.69	-9.17			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-sacramento-003/581208-sacramento-003-008.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-sacramento-003/581208-sacramento-003-008.JPG	 						315	294	5			bc				
1865-02-17	10	38.69	-9.17			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-sacramento-003/581208-sacramento-003-008.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-sacramento-003/581208-sacramento-003-008.JPG	 						315	294	5			bc				
1865-02-17	11	38.69	-9.17			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-sacramento-003/581208-sacramento-003-008.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-sacramento-003/581208-sacramento-003-008.JPG	 						315	294	5			bc				
1865-02-17	12	38.69	-9.17			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-sacramento-003/581208-sacramento-003-008.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-sacramento-003/581208-sacramento-003-008.JPG	"Noon: Lisbon, Portugal."						315	294	5	30.12	61	bc				
1865-02-17	13	38.69	-9.17			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-sacramento-003/581208-sacramento-003-008.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-sacramento-003/581208-sacramento-003-008.JPG	 						338	317	5			bc				
1865-02-17	14	38.69	-9.17			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-sacramento-003/581208-sacramento-003-008.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-sacramento-003/581208-sacramento-003-008.JPG	 						338	317	5			bc				
1865-02-17	15	38.69	-9.17			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-sacramento-003/581208-sacramento-003-008.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-sacramento-003/581208-sacramento-003-008.JPG	 						338	317	5			bc				
1865-02-17	16	38.69	-9.17			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-sacramento-003/581208-sacramento-003-008.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-sacramento-003/581208-sacramento-003-008.JPG	 						338	317	5	30.17	75	bc				
1865-02-17	17	38.69	-9.17			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-sacramento-003/581208-sacramento-003-008.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-sacramento-003/581208-sacramento-003-008.JPG	 						360	339	2			bc				
1865-02-17	18	38.69	-9.17			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-sacramento-003/581208-sacramento-003-008.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-sacramento-003/581208-sacramento-003-008.JPG	 						360	339	2			bc				
1865-02-17	19	38.69	-9.17			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-sacramento-003/581208-sacramento-003-008.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-sacramento-003/581208-sacramento-003-008.JPG	 						360	339	2			bc				
1865-02-17	20	38.69	-9.17			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-sacramento-003/581208-sacramento-003-008.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-sacramento-003/581208-sacramento-003-008.JPG	 						360	339	2	30.26	51	bc				
1865-02-17	21	38.69	-9.17			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-sacramento-003/581208-sacramento-003-008.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-sacramento-003/581208-sacramento-003-008.JPG	 						360	339	2			b				
