YYYYMMDD	Hour	Lat	Long	Course	PL	Distance	Ice_Log	URL_W	URL_E	Note	Ice_1	Ice_2	Orig Lat	Orig Lon	Orig Course	DirM	DirT	Kts	Baro	Attd	Dry	Wet	Water	Weather	Clouds	Clear	People
1866-09-23	6	42.38	-71.05			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-sacramento-004/581208-sacramento-004-015.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-sacramento-004/581208-sacramento-004-015.JPG	 						315	305	5									
1866-09-23	7	42.38	-71.05			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-sacramento-004/581208-sacramento-004-015.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-sacramento-004/581208-sacramento-004-015.JPG	 						315	305	5									
1866-09-23	8	42.38	-71.05			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-sacramento-004/581208-sacramento-004-015.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-sacramento-004/581208-sacramento-004-015.JPG	 						315	305	2									
1866-09-23	9	42.38	-71.05			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-sacramento-004/581208-sacramento-004-015.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-sacramento-004/581208-sacramento-004-015.JPG	 																	
1866-09-23	10	42.38	-71.05			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-sacramento-004/581208-sacramento-004-015.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-sacramento-004/581208-sacramento-004-015.JPG	 																	
1866-09-23	11	42.38	-71.05			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-sacramento-004/581208-sacramento-004-015.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-sacramento-004/581208-sacramento-004-015.JPG	 																	
1866-09-23	12	42.38	-71.05			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-sacramento-004/581208-sacramento-004-015.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-sacramento-004/581208-sacramento-004-015.JPG	Noon: Boston Harbor.																	
1866-09-23	13	42.38	-71.05			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-sacramento-004/581208-sacramento-004-015.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-sacramento-004/581208-sacramento-004-015.JPG	 						68	58	2		60				bc	cir		
1866-09-23	14	42.38	-71.05			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-sacramento-004/581208-sacramento-004-015.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-sacramento-004/581208-sacramento-004-015.JPG	 						68	58	5		60				bc	cir		
1866-09-23	15	42.38	-71.05			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-sacramento-004/581208-sacramento-004-015.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-sacramento-004/581208-sacramento-004-015.JPG	 						68	58	5		55				bc	cir		
1866-09-23	16	42.38	-71.05			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-sacramento-004/581208-sacramento-004-015.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-sacramento-004/581208-sacramento-004-015.JPG	"1600: The pressures for 1600, 1800 and 2000 are bad. I deleted them."						68	58	2		58				bc	cir		
1866-09-23	17	42.38	-71.05			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-sacramento-004/581208-sacramento-004-015.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-sacramento-004/581208-sacramento-004-015.JPG	 						68	58	2						bc	cir		
1866-09-23	18	42.38	-71.05			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-sacramento-004/581208-sacramento-004-015.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-sacramento-004/581208-sacramento-004-015.JPG	 						68	58	2		56				bc	cir		
1866-09-23	19	42.38	-71.05			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-sacramento-004/581208-sacramento-004-015.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-sacramento-004/581208-sacramento-004-015.JPG	 						68	58	2						bc	cir		
1866-09-23	20	42.38	-71.05			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-sacramento-004/581208-sacramento-004-015.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-sacramento-004/581208-sacramento-004-015.JPG	 						68	58	2		55				bc	cir		
1866-09-23	21	42.38	-71.05			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-sacramento-004/581208-sacramento-004-015.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-sacramento-004/581208-sacramento-004-015.JPG	 						90	80	2	30.30	58	63	57	57	bc	cir		
1866-09-23	22	42.38	-71.05			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-sacramento-004/581208-sacramento-004-015.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-sacramento-004/581208-sacramento-004-015.JPG	 						0	0	0	30.30	54	61	53	55	bc	cir		
1866-09-23	23	42.38	-71.05			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-sacramento-004/581208-sacramento-004-015.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-sacramento-004/581208-sacramento-004-015.JPG	 						0	0	0	30.35	50	54	51	53	bc	cir		
1866-09-23	24	42.38	-71.05			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-sacramento-004/581208-sacramento-004-015.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-sacramento-004/581208-sacramento-004-015.JPG	 						0	0	0	30.35	50	51	51	53	bc	cir		
1866-09-24	1	42.38	-71.05			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-sacramento-004/581208-sacramento-004-016.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-sacramento-004/581208-sacramento-004-016.JPG	 						90	80	5						cd	stratus	0	
1866-09-24	2	42.38	-71.05			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-sacramento-004/581208-sacramento-004-016.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-sacramento-004/581208-sacramento-004-016.JPG	 						68	58	5						r	stratus	0	
1866-09-24	3	42.38	-71.05			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-sacramento-004/581208-sacramento-004-016.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-sacramento-004/581208-sacramento-004-016.JPG	 						45	35	2						r	stratus	0	
1866-09-24	4	42.38	-71.05			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-sacramento-004/581208-sacramento-004-016.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-sacramento-004/581208-sacramento-004-016.JPG	 						45	35	2						r	stratus	0	
1866-09-24	5	42.38	-71.05			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-sacramento-004/581208-sacramento-004-016.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-sacramento-004/581208-sacramento-004-016.JPG	0500: The next four pressures are bad again. 30.70s. I deleted them.						360	350	5		45	48			r	cir		
1866-09-24	6	42.38	-71.05			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-sacramento-004/581208-sacramento-004-016.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-sacramento-004/581208-sacramento-004-016.JPG	 						360	350	5		45	48				cir		
1866-09-24	7	42.38	-71.05			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-sacramento-004/581208-sacramento-004-016.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-sacramento-004/581208-sacramento-004-016.JPG	 						360	350	5		45	48				cir		
1866-09-24	8	42.38	-71.05			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-sacramento-004/581208-sacramento-004-016.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-sacramento-004/581208-sacramento-004-016.JPG	 						360	350	5		45	49				cir		
1866-09-24	9	42.38	-71.05			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-sacramento-004/581208-sacramento-004-016.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-sacramento-004/581208-sacramento-004-016.JPG	 						360	350	5		45	48				cir		
1866-09-24	10	42.38	-71.05			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-sacramento-004/581208-sacramento-004-016.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-sacramento-004/581208-sacramento-004-016.JPG	 						360	350	8		46	49				cir		
1866-09-24	11	42.38	-71.05			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-sacramento-004/581208-sacramento-004-016.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-sacramento-004/581208-sacramento-004-016.JPG	 						360	350	5		46	49				cir		
1866-09-24	12	42.38	-71.05			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-sacramento-004/581208-sacramento-004-016.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-sacramento-004/581208-sacramento-004-016.JPG	Noon: Boston Harbor.						360	350			46	49				cir		
1866-09-24	13	42.38	-71.05			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-sacramento-004/581208-sacramento-004-016.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-sacramento-004/581208-sacramento-004-016.JPG	 									30.30	62	57	58	60	bc	str	2	
1866-09-24	14	42.38	-71.05			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-sacramento-004/581208-sacramento-004-016.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-sacramento-004/581208-sacramento-004-016.JPG	 									30.30	62	57	58	60	c	str	1	
