YYYYMMDD	Hour	Lat	Long	Course	PL	Distance	Ice_Log	URL_W	URL_E	Note	Ice_1	Ice_2	Orig Lat	Orig Lon	Orig Course	DirM	DirT	Kts	Baro	Attd	Dry	Wet	Water	Weather	Clouds	From	Amount	VisM	People	Ships	Other
1923-01-02	6	6.90	122.06			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/57/93/29009357/content/hub/2016-05/USS_Sacramento_01011923_to_02281923/USS_Sacramento_01011923_to_02281923_010.jpg	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/57/93/29009357/content/hub/2016-05/USS_Sacramento_01011923_to_02281923/USS_Sacramento_01011923_to_02281923_010.jpg	 					111	90	92	2	30.02		76	76		bc	S	90	8				
1923-01-02	7	6.90	122.06			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/57/93/29009357/content/hub/2016-05/USS_Sacramento_01011923_to_02281923/USS_Sacramento_01011923_to_02281923_010.jpg	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/57/93/29009357/content/hub/2016-05/USS_Sacramento_01011923_to_02281923/USS_Sacramento_01011923_to_02281923_010.jpg	 					113	90	92	2	30.06		77	77		bc	S	90	9				
1923-01-02	8	6.90	122.06			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/57/93/29009357/content/hub/2016-05/USS_Sacramento_01011923_to_02281923/USS_Sacramento_01011923_to_02281923_010.jpg	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/57/93/29009357/content/hub/2016-05/USS_Sacramento_01011923_to_02281923/USS_Sacramento_01011923_to_02281923_010.jpg	"8AM: Zamboanga Harbor, P.I."					117	45	47	2	30.07		78	78		bc	cicu	45	9				
1923-01-02	9	6.90	122.06			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/57/93/29009357/content/hub/2016-05/USS_Sacramento_01011923_to_02281923/USS_Sacramento_01011923_to_02281923_010.jpg	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/57/93/29009357/content/hub/2016-05/USS_Sacramento_01011923_to_02281923/USS_Sacramento_01011923_to_02281923_010.jpg	 					95	45	47	2	30.06		83	83		c	cicu	45	8				
1923-01-02	10	6.90	122.06			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/57/93/29009357/content/hub/2016-05/USS_Sacramento_01011923_to_02281923/USS_Sacramento_01011923_to_02281923_010.jpg	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/57/93/29009357/content/hub/2016-05/USS_Sacramento_01011923_to_02281923/USS_Sacramento_01011923_to_02281923_010.jpg	 					94	45	47	2	30.06		81	83		c	scu	45	5				
1923-01-02	11	6.90	122.06			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/57/93/29009357/content/hub/2016-05/USS_Sacramento_01011923_to_02281923/USS_Sacramento_01011923_to_02281923_010.jpg	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/57/93/29009357/content/hub/2016-05/USS_Sacramento_01011923_to_02281923/USS_Sacramento_01011923_to_02281923_010.jpg	 					270	45	47	2	30.04		81	82		c	cis	90	7				
1923-01-02	12	6.90	122.06			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/57/93/29009357/content/hub/2016-05/USS_Sacramento_01011923_to_02281923/USS_Sacramento_01011923_to_02281923_010.jpg	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/57/93/29009357/content/hub/2016-05/USS_Sacramento_01011923_to_02281923/USS_Sacramento_01011923_to_02281923_010.jpg	 					279	45	47	2	30.04		89	86		c	cis	90	5				
1923-01-02	13	6.90	122.06			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/57/93/29009357/content/hub/2016-05/USS_Sacramento_01011923_to_02281923/USS_Sacramento_01011923_to_02281923_010.jpg	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/57/93/29009357/content/hub/2016-05/USS_Sacramento_01011923_to_02281923/USS_Sacramento_01011923_to_02281923_010.jpg	 					280	270	272	2	30.00		89	86		bc	cu	270	9				
1923-01-02	14	6.90	122.06			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/57/93/29009357/content/hub/2016-05/USS_Sacramento_01011923_to_02281923/USS_Sacramento_01011923_to_02281923_010.jpg	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/57/93/29009357/content/hub/2016-05/USS_Sacramento_01011923_to_02281923/USS_Sacramento_01011923_to_02281923_010.jpg	 					280	270	272	2	29.97		89	86		bc	cu	270	8				
1923-01-02	15	6.90	122.06			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/57/93/29009357/content/hub/2016-05/USS_Sacramento_01011923_to_02281923/USS_Sacramento_01011923_to_02281923_010.jpg	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/57/93/29009357/content/hub/2016-05/USS_Sacramento_01011923_to_02281923/USS_Sacramento_01011923_to_02281923_010.jpg	 					265	270	272	2	29.93		83	84		bce	cun	270	9				
