YYYYMMDD	Hour	Lat	Long	Course	PL	Distance	Ice_Log	URL_W	URL_E	Note	Ice_1	Ice_2	Orig Lat	Orig Lon	Orig Course	DirM	DirT	Kts	Baro	Dry	Water	Weather		
1864-02-04	5	33.90	-77.84	180		2.0		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-tuscarora-005/581208-tuscarora-005-128.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-tuscarora-005/581208-tuscarora-005-128.JPG	 						360	360	2				b		
1864-02-04	6	33.93	-77.84	360		2.0		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-tuscarora-005/581208-tuscarora-005-128.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-tuscarora-005/581208-tuscarora-005-128.JPG	0600: cc SE for strange sail. 0620 Stood for buoy.														
1864-02-04	7	33.94	-77.83	45		0.5		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-tuscarora-005/581208-tuscarora-005-128.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-tuscarora-005/581208-tuscarora-005-128.JPG	0730: Anchored. Near buoy.														
1864-02-04	8	33.95	-77.82	45		1.0		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-tuscarora-005/581208-tuscarora-005-128.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-tuscarora-005/581208-tuscarora-005-128.JPG	 									30.10	50				
1864-02-04	9	33.95	-77.82			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-tuscarora-005/581208-tuscarora-005-128.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-tuscarora-005/581208-tuscarora-005-128.JPG	 						225	225	2				b		
1864-02-04	10	33.95	-77.82			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-tuscarora-005/581208-tuscarora-005-128.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-tuscarora-005/581208-tuscarora-005-128.JPG	 														
1864-02-04	11	33.95	-77.82			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-tuscarora-005/581208-tuscarora-005-128.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-tuscarora-005/581208-tuscarora-005-128.JPG	 														
1864-02-04	12	33.95	-77.82			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-tuscarora-005/581208-tuscarora-005-128.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-tuscarora-005/581208-tuscarora-005-128.JPG	 									30.00	58				
1864-02-04	13	33.95	-77.82			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-tuscarora-005/581208-tuscarora-005-128.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-tuscarora-005/581208-tuscarora-005-128.JPG	 						225	225	13						
1864-02-04	14	33.95	-77.82			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-tuscarora-005/581208-tuscarora-005-128.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-tuscarora-005/581208-tuscarora-005-128.JPG	 														
1864-02-04	15	33.95	-77.82			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-tuscarora-005/581208-tuscarora-005-128.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-tuscarora-005/581208-tuscarora-005-128.JPG	 														
1864-02-04	16	33.95	-77.82			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-tuscarora-005/581208-tuscarora-005-128.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-tuscarora-005/581208-tuscarora-005-128.JPG	1645: Got Underway. Drifting.									29.96	56				
1864-02-04	17	33.95	-77.82			0.0		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-tuscarora-005/581208-tuscarora-005-128.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-tuscarora-005/581208-tuscarora-005-128.JPG	1730: Sent light to buoy.						180	180	19						
1864-02-04	18	33.95	-77.82			0.0		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-tuscarora-005/581208-tuscarora-005-128.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-tuscarora-005/581208-tuscarora-005-128.JPG	1800: Got underway. Cc SW for station.									29.94	54				
1864-02-04	19	33.93	-77.82	180		1.5		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-tuscarora-005/581208-tuscarora-005-128.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-tuscarora-005/581208-tuscarora-005-128.JPG	1900: Buoy brg N dist 11/2 mi.						225	225	24				b		
1864-02-04	20	33.90	-77.82	180		1.5		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-tuscarora-005/581208-tuscarora-005-128.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-tuscarora-005/581208-tuscarora-005-128.JPG	2000: Buoy brg N dist 3 mi. Stopped and drifting.									30.00	60				
1864-02-04	21	33.93	-77.82	360		2.0		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-tuscarora-005/581208-tuscarora-005-128.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-tuscarora-005/581208-tuscarora-005-128.JPG	 						225	225	24				b		
1864-02-04	22	33.90	-77.82	180		2.0		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-tuscarora-005/581208-tuscarora-005-128.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-tuscarora-005/581208-tuscarora-005-128.JPG	 														
1864-02-04	23	33.93	-77.82	360		2.0		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-tuscarora-005/581208-tuscarora-005-128.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-tuscarora-005/581208-tuscarora-005-128.JPG	 														
